year,modified_currency,rate_to_pounds,source,notes
1926,albanian gold franc,25.1775071262,"Currency_Calculated from League of Nations, Statistical Yearbook of the League of Nations.",
1927,albanian gold franc,25.0567010309,"Currency_Calculated from League of Nations, Statistical Yearbook of the League of Nations.",
1928,albanian gold franc,25.2124352332,"Currency_Calculated from League of Nations, Statistical Yearbook of the League of Nations.",
1929,albanian gold franc,25.265969994,"Currency_Calculated from League of Nations, Statistical Yearbook of the League of Nations.",
1930,albanian gold franc,25.2406026561,"Currency_Calculated from League of Nations, Statistical Yearbook of the League of Nations.",
1931,albanian gold franc,23.4537863134,"Currency_Calculated from League of Nations, Statistical Yearbook of the League of Nations.",
1932,albanian gold franc,18.1007402662,"Currency_Calculated from League of Nations, Statistical Yearbook of the League of Nations.",
1933,albanian gold franc,17.2752961291,"Currency_Calculated from League of Nations, Statistical Yearbook of the League of Nations.",
1934,albanian gold franc,15.7245995305,"Currency_Calculated from League of Nations, Statistical Yearbook of the League of Nations.",
1935,albanian gold franc,15.1545441196,"Currency_Calculated from League of Nations, Statistical Yearbook of the League of Nations.",
1936,albanian gold franc,15.2248290983,"Currency_Calculated from League of Nations, Statistical Yearbook of the League of Nations.",
1937,albanian gold franc,15.0990040644,"Currency_Calculated from League of Nations, Statistical Yearbook of the League of Nations.",
1938,albanian gold franc,14.9377569581,"Currency_Calculated from League of Nations, Statistical Yearbook of the League of Nations.",
1939,albanian gold franc,13.6890526657,"Currency_Calculated from League of Nations, Statistical Yearbook of the League of Nations.",
1841,alexandrian piastre,97.1576923077,"Annales du commerce extérieur. Egypte. Faits commerciaux, n° 7. BNF : LC5-138 (BG)",
1842,alexandrian piastre,97.9230769231,"Annales du commerce extérieur. Egypte. Faits commerciaux, n° 7. BNF : LC5-138 (BG)",
1843,alexandrian piastre,98.35,"Annales du commerce extérieur. Egypte. Faits commerciaux, n° 7. BNF : LC5-138 (BG)",
1844,alexandrian piastre,98.0653846154,"Annales du commerce extérieur. Egypte. Faits commerciaux, n° 7. BNF : LC5-138 (BG)",
1845,alexandrian piastre,98.5076923077,"Annales du commerce extérieur. Egypte. Faits commerciaux, n° 7. BNF : LC5-138 (BG)",
1846,alexandrian piastre,98.4730769231,"Annales du commerce extérieur. Egypte. Faits commerciaux, n° 7. BNF : LC5-138 (BG)",
1847,alexandrian piastre,97.7346153846,"Annales du commerce extérieur. Egypte. Faits commerciaux, n° 7. BNF : LC5-138 (BG)",
1848,alexandrian piastre,97.9346153846,"Annales du commerce extérieur. Egypte. Faits commerciaux, n° 7. BNF : LC5-138 (BG)",
1849,alexandrian piastre,97.4423076923,"Annales du commerce extérieur. Egypte. Faits commerciaux, n° 7. BNF : LC5-138 (BG)",
1850,alexandrian piastre,97.3307692308,"Annales du commerce extérieur. Egypte. Faits commerciaux, n° 7. BNF : LC5-138 (BG)",
1851,alexandrian piastre,96.3038461538,"Annales du commerce extérieur. Egypte. Faits commerciaux, n° 7. BNF : LC5-138 (BG)",
1865,argentine gold peso,4.888,"Currency_Schneider et al. (1997), vol. VII, p. 214.",Buenos Aires on London 60 Tage.
1866,argentine gold peso,4.807,"Currency_Schneider et al. (1997), vol. VII, p. 214.",Buenos Aires on London 60 Tage.
1867,argentine gold peso,4.942,"Currency_Schneider et al. (1997), vol. VII, p. 214.",Buenos Aires on London 60 Tage.
1868,argentine gold peso,4.905,"Currency_Schneider et al. (1997), vol. VII, p. 214.",Buenos Aires on London 60 Tage.
1869,argentine gold peso,4.898,"Currency_Schneider et al. (1997), vol. VII, p. 215-216.","Buenos Aires on London, 90 Tage."
1870,argentine gold peso,4.87,"Currency_Schneider et al. (1997), vol. VII, p. 215-216.","Buenos Aires on London, 90 Tage."
1871,argentine gold peso,4.767,"Currency_Schneider et al. (1997), vol. VII, p. 215-216.","Buenos Aires on London, 90 Tage."
1872,argentine gold peso,4.777,"Currency_Schneider et al. (1997), vol. VII, p. 215-216.","Buenos Aires on London, 90 Tage."
1873,argentine gold peso,4.901,"Currency_Schneider et al. (1997), vol. VII, p. 215-216.","Buenos Aires on London, 90 Tage."
1874,argentine gold peso,4.851,"Currency_Schneider et al. (1997), vol. VII, p. 215-216.","Buenos Aires on London, 90 Tage."
1875,argentine gold peso,4.837,"Currency_Schneider et al. (1997), vol. VII, p. 215-216.","Buenos Aires on London, 90 Tage."
1876,argentine gold peso,4.854,"Currency_Schneider et al. (1997), vol. VII, p. 215-216.","Buenos Aires on London, 90 Tage."
1877,argentine gold peso,4.857,"Currency_Schneider et al. (1997), vol. VII, p. 215-216.","Buenos Aires on London, 90 Tage."
1878,argentine gold peso,4.858,"Currency_Schneider et al. (1997), vol. VII, p. 215-216.","Buenos Aires on London, 90 Tage."
1879,argentine gold peso,4.861,"Currency_Schneider et al. (1997), vol. VII, p. 215-216.","Buenos Aires on London, 90 Tage."
1880,argentine gold peso,4.824,"Currency_Schneider et al. (1997), vol. VII, p. 215-216.","Buenos Aires on London, 90 Tage. Cf. Statistical Abstract for Foreign Countries : 1 peso nacional = 1 peso gold = 4 s."
1881,argentine gold peso,4.848,"Currency_Schneider et al. (1997), vol. VII, p. 215-216.","Buenos Aires on London, 90 Tage. Cf. Statistical Abstract for Foreign Countries : 1 peso nacional = 1 peso gold = 4 s."
1882,argentine gold peso,4.847,"Currency_Schneider et al. (1997), vol. VII, p. 215-216.","Buenos Aires on London, 90 Tage. Cf. Statistical Abstract for Foreign Countries : 1 peso nacional = 1 peso gold = 4 s."
