id,RICname_group,RICname_part
1,European Turkey & Asian Turkey & African Turkey,European Turkey
2,European Turkey & Asian Turkey & African Turkey,Asian Turkey
3,European Turkey & Asian Turkey & African Turkey,African Turkey
4,Java & Madura Island,Java
5,Java & Madura Island,Madura Island
6,Macao & Portuguese Timor,Macao
7,Macao & Portuguese Timor,Portuguese Timor
8,Canary Is. & Cape Colony & Malagasy Republic (Madagascar),Canary Is.
9,Canary Is. & Cape Colony & Malagasy Republic (Madagascar),Cape Colony
10,Canary Is. & Cape Colony & Malagasy Republic (Madagascar),Malagasy Republic (Madagascar)
11,Malacca & Penang & Singapore,Malacca
12,Malacca & Penang & Singapore,Penang
13,Malacca & Penang & Singapore,Singapore
14,Other countries & Prussia,Other countries
15,Other countries & Prussia,Prussia
16,China (People's Republic of China) & Manchuria & Mongolia,China (People's Republic of China)
17,China (People's Republic of China) & Manchuria & Mongolia,Manchuria
18,China (People's Republic of China) & Manchuria & Mongolia,Mongolia
19,China (People's Republic of China) & Philippines & Thailand (Siam),China (People's Republic of China)
20,China (People's Republic of China) & Philippines & Thailand (Siam),Philippines
21,China (People's Republic of China) & Philippines & Thailand (Siam),Thailand (Siam)
22,Belgium & Germany & Netherlands,Belgium
23,Belgium & Germany & Netherlands,Germany
24,Belgium & Germany & Netherlands,Netherlands
25,China (People's Republic of China) & India,China (People's Republic of China)
26,China (People's Republic of China) & India,India
27,British Africa & Gibraltar,British Africa
28,British Africa & Gibraltar,Gibraltar
29,Brazil & Chile,Brazil
30,Brazil & Chile,Chile
31,Ionian Is. & United Kingdom,Ionian Is.
32,Ionian Is. & United Kingdom,United Kingdom
33,Beirut & Egypt/United Arab Republic,Beirut
34,Beirut & Egypt/United Arab Republic,Egypt/United Arab Republic
35,Portuguese Asia & Portuguese Oceania,Portuguese Asia
36,Portuguese Asia & Portuguese Oceania,Portuguese Oceania
37,Austria-Hungary & Lombardy-Venetia,Austria-Hungary
38,Austria-Hungary & Lombardy-Venetia,Lombardy-Venetia
39,Genoa & Trieste,Genoa
40,Genoa & Trieste,Trieste
41,East India Company & Sri Lanka (Ceylon),East India Company
42,East India Company & Sri Lanka (Ceylon),Sri Lanka (Ceylon)
43,Denmark & St. Thomas,Denmark
44,Denmark & St. Thomas,St. Thomas
45,Borneo & Malaysia (Malaya),Borneo
46,Borneo & Malaysia (Malaya),Malaysia (Malaya)
47,Belgium & Netherlands,Belgium
48,Belgium & Netherlands,Netherlands
49,Australia & Western Australia,Australia
50,Australia & Western Australia,Western Australia
51,Bengal & India & Persian Gulf,Bengal
52,Bengal & India & Persian Gulf,India
53,Bengal & India & Persian Gulf,Persian Gulf
54,Faeroe Is. & Iceland,Faeroe Is.
55,Faeroe Is. & Iceland,Iceland
56,Bremen & Hanover,Bremen
57,Bremen & Hanover,Hanover
58,Singapore & Straits Settlements,Singapore
59,Singapore & Straits Settlements,Straits Settlements
60,Burma (Myanmar) & India & Straits Settlements,Burma (Myanmar)
61,Burma (Myanmar) & India & Straits Settlements,India
62,Burma (Myanmar) & India & Straits Settlements,Straits Settlements
63,Mauritius & Seychelles,Mauritius
64,Mauritius & Seychelles,Seychelles
65,Denmark & Faeroe Is. & Iceland,Denmark
66,Denmark & Faeroe Is. & Iceland,Faeroe Is.
67,Denmark & Faeroe Is. & Iceland,Iceland
68,Bremen & Hamburg & Lubeck & Netherlands,Bremen
69,Bremen & Hamburg & Lubeck & Netherlands,Hamburg
70,Bremen & Hamburg & Lubeck & Netherlands,Lubeck
71,Bremen & Hamburg & Lubeck & Netherlands,Netherlands
72,Algiers & Tunis,Algiers
73,Algiers & Tunis,Tunis
74,Africa & Cape Colony,Africa
75,Africa & Cape Colony,Cape Colony
76,Jakarta (Batavia) & Singapore,Jakarta (Batavia)
77,Jakarta (Batavia) & Singapore,Singapore
78,Bremen & Hamburg,Bremen
79,Bremen & Hamburg,Hamburg
80,Cuba & Curacao & Guadeloupe & Martinique & Puerto Rico & St. Thomas & St. Croix,Cuba
81,Cuba & Curacao & Guadeloupe & Martinique & Puerto Rico & St. Thomas & St. Croix,Curacao
82,Cuba & Curacao & Guadeloupe & Martinique & Puerto Rico & St. Thomas & St. Croix,Guadeloupe
83,Cuba & Curacao & Guadeloupe & Martinique & Puerto Rico & St. Thomas & St. Croix,Martinique
84,Cuba & Curacao & Guadeloupe & Martinique & Puerto Rico & St. Thomas & St. Croix,Puerto Rico
85,Cuba & Curacao & Guadeloupe & Martinique & Puerto Rico & St. Thomas & St. Croix,St. Thomas
86,Cuba & Curacao & Guadeloupe & Martinique & Puerto Rico & St. Thomas & St. Croix,St. Croix
87,China (People's Republic of China) & Hong Kong,China (People's Republic of China)
88,China (People's Republic of China) & Hong Kong,Hong Kong
89,Faeroe Is. & Greenland & Iceland,Faeroe Is.
90,Faeroe Is. & Greenland & Iceland,Greenland
91,Faeroe Is. & Greenland & Iceland,Iceland
92,China (People's Republic of China) & India & Pacific Islands,China (People's Republic of China)
93,China (People's Republic of China) & India & Pacific Islands,India
94,China (People's Republic of China) & India & Pacific Islands,Pacific Islands
