ID_Curr_Yr_RepEntity,Original Currency,Yr,Reporting entity (Original name),Modified Currency
1,ROUPIES,1845,Aden,Indian Rupee
2,ROUPIES,1846,Aden,Indian Rupee
3,£,1891,Aden,Sterling Pound
4,£,1892,Aden,Sterling Pound
5,£,1893,Aden,Sterling Pound
6,£,1894,Aden,Sterling Pound
7,£,1895,Aden,Sterling Pound
8,£,1896,Aden,Sterling Pound
9,£,1897,Aden,Sterling Pound
10,£,1898,Aden,Sterling Pound
11,£,1899,Aden,Sterling Pound
12,£,1900,Aden,Sterling Pound
13,£,1901,Aden,Sterling Pound
14,£,1902,Aden,Sterling Pound
15,£,1903,Aden,Sterling Pound
16,£,1904,Aden,Sterling Pound
17,£,1905,Aden,Sterling Pound
18,£,1906,Aden,Sterling Pound
19,£,1907,Aden,Sterling Pound
20,£,1908,Aden,Sterling Pound
21,£,1909,Aden,Sterling Pound
22,£,1910,Aden,Sterling Pound
23,£,1911,Aden,Sterling Pound
24,£,1912,Aden,Sterling Pound
25,£,1913,Aden,Sterling Pound
26,Livre sterling,1925,Aden,Sterling Pound
27,Livre sterling,1926,Aden,Sterling Pound
28,Livre sterling,1927,Aden,Sterling Pound
29,Livre sterling,1928,Aden,Sterling Pound
30,Livre sterling,1929,Aden,Sterling Pound
31,Livre sterling,1930,Aden,Sterling Pound
32,Livre sterling,1931,Aden,Sterling Pound
33,Livre sterling,1932,Aden,Sterling Pound
34,Livre sterling,1933,Aden,Sterling Pound
35,Livre sterling,1934,Aden,Sterling Pound
36,Livre sterling,1935,Aden,Sterling Pound
37,Livre sterling,1936,Aden,Sterling Pound
38,Livre sterling,1937,Aden,Sterling Pound
39,Livre sterling,1938,Aden,Sterling Pound
40,sterling,1910,Afrique du Sud,Sterling Pound
41,Francs,1925,Afrique Equatoriale Française,French Franc
42,Francs,1926,Afrique Equatoriale Française,French Franc
43,Francs,1927,Afrique Equatoriale Française,French Franc
44,Francs,1928,Afrique Equatoriale Française,French Franc
45,Francs,1929,Afrique Equatoriale Française,French Franc
46,Francs,1930,Afrique Equatoriale Française,French Franc
47,Francs,1931,Afrique Equatoriale Française,French Franc
48,Francs,1932,Afrique Equatoriale Française,French Franc
49,Francs,1933,Afrique Equatoriale Française,French Franc
50,Francs,1934,Afrique Equatoriale Française,French Franc
51,Francs,1935,Afrique Equatoriale Française,French Franc
52,Francs,1936,Afrique Equatoriale Française,French Franc
53,francs,1937,Afrique Equatoriale Française,French Franc
54,francs,1938,Afrique Equatoriale Française,French Franc
55,Francs,1925,Afrique Occidentale Française,French Franc
56,Francs,1926,Afrique Occidentale Française,French Franc
57,Francs,1927,Afrique Occidentale Française,French Franc
69,Marks,1900,Afrique orient. Allem.,German mark
70,Marks,1910,Afrique orient. Allem.,German mark
71,Marks,1900,Afrique Sud-Occ. Allem.,German mark
72,Marks,1910,Afrique Sud-Occ. Allem.,German mark
73,kronen,1910,AH,Austria-Hungary Krone
74,dollars,1901,Alaska,US Dollar
75,dollars,1902,Alaska,US Dollar
