slug,acronym,author,name,edition_date,country,pages,volume,shelf_number,dates,notes
Annual Report. Foreign Commerce and Navigation of the United States for 1853-54,CN-US,,Foreign Commerce and Navigation of the United States,,,,,,1853-54,
Annual Report. Foreign Commerce and Navigation of the United States for 1854-55,CN-US,,Foreign Commerce and Navigation of the United States,,,,,,1854-55,
Annual Report. Foreign Commerce and Navigation of the United States for 1855-56,CN-US,,Foreign Commerce and Navigation of the United States,,,,,,1855-56,
Annual Report. Foreign Commerce and Navigation of the United States for 1856-57,CN-US,,Foreign Commerce and Navigation of the United States,,,,,,1856-57,
Annual Report. Foreign Commerce and Navigation of the United States for 1857-58,CN-US,,Foreign Commerce and Navigation of the United States,,,,,,1857-58,
Annual Report. Foreign Commerce and Navigation of the United States for 1858-59,CN-US,,Foreign Commerce and Navigation of the United States,,,,,,1858-59,
Annual Report. Foreign Commerce and Navigation of the United States for 1859-60,CN-US,,Foreign Commerce and Navigation of the United States,,,,,,1859-60,
Annual Report. Foreign Commerce and Navigation of the United States for 1860-61,CN-US,,Foreign Commerce and Navigation of the United States,,,,,,1860-61,
Annual Report. Foreign Commerce and Navigation of the United States for 1861-62,CN-US,,Foreign Commerce and Navigation of the United States,,,,,,1861-62,
Annual Report. Foreign Commerce and Navigation of the United States for 1862-63,CN-US,,Foreign Commerce and Navigation of the United States,,,,,,1862-63,
Annual Report. Foreign Commerce and Navigation of the United States for 1863-64,CN-US,,Foreign Commerce and Navigation of the United States,,,,,,1863-64,
Annual Report. Foreign Commerce and Navigation of the United States for 1864-65,CN-US,,Foreign Commerce and Navigation of the United States,,,,,,1864-65,
Annual Report. Foreign Commerce and Navigation of the United States for 1865-66,CN-US,,Foreign Commerce and Navigation of the United States,,,,,,1865-66,
Annual Report. Foreign Commerce and Navigation of the United States for 1866-67,CN-US,,Foreign Commerce and Navigation of the United States,,,,,,1866-67,
Annual Report. Foreign Commerce and Navigation of the United States for 1867-68,CN-US,,Foreign Commerce and Navigation of the United States,,,,,,1867-68,
"Annual Report. Foreign Commerce and Navigation of the United States for 1868-69, Part I",CN-US,,Foreign Commerce and Navigation of the United States,,,,PartI,,1868-69,
"Annual Report. Foreign Commerce and Navigation of the United States for 1868-69, Part II",CN-US,,Foreign Commerce and Navigation of the United States,,,,Part II,,1868-69,
Annual Report. Foreign Commerce and Navigation of the United States for 1869-70,CN-US,,Foreign Commerce and Navigation of the United States,,,,,,1869-70,
Annual Report. Foreign Commerce and Navigation of the United States for 1870-71,CN-US,,Foreign Commerce and Navigation of the United States,,,,,,1870-71,
Annual Report. Foreign Commerce and Navigation of the United States for 1871-72,CN-US,,Foreign Commerce and Navigation of the United States,,,,,,1871-72,
Annual Report. Foreign Commerce and Navigation of the United States for 1872-73,CN-US,,Foreign Commerce and Navigation of the United States,,,,,,1872-73,
Annual Report. Foreign Commerce and Navigation of the United States for 1873-74,CN-US,,Foreign Commerce and Navigation of the United States,,,,,,1873-74,
Annual Report. Foreign Commerce and Navigation of the United States for 1874-75,CN-US,,Foreign Commerce and Navigation of the United States,,,,,,1874-75,
Annual Report. Foreign Commerce and Navigation of the United States for 1875-76,CN-US,,Foreign Commerce and Navigation of the United States,,,,,,1875-76,
Annual Report. Foreign Commerce and Navigation of the United States for 1878-79,CN-US,,Foreign Commerce and Navigation of the United States,,,,,,1878-79,
Annual Report. Foreign Commerce and Navigation of the United States for 1901-02,CN-US,,Foreign Commerce and Navigation of the United States,,,,,,2/1/1901,
Annual Report. Foreign Commerce and Navigation of the United States for 1902-03,CN-US,,Foreign Commerce and Navigation of the United States,,,,,,3/1/1902,
Annual Report. Foreign Commerce and Navigation of the United States for 1903-04,CN-US,,Foreign Commerce and Navigation of the United States,,,,,,4/1/1903,
Annual Report. Foreign Commerce and Navigation of the United States for 1904-05,CN-US,,Foreign Commerce and Navigation of the United States,,,,,,5/1/1904,
Annual Report. Foreign Commerce and Navigation of the United States for 1905-06,CN-US,,Foreign Commerce and Navigation of the United States,,,,,,6/1/1905,
Annual Report. Foreign Commerce and Navigation of the United States for 1906-07,CN-US,,Foreign Commerce and Navigation of the United States,,,,,,7/1/1906,
Annual Report. Foreign Commerce and Navigation of the United States for 1907-08,CN-US,,Foreign Commerce and Navigation of the United States,,,,,,8/1/1907,
Annual Report. Foreign Commerce and Navigation of the United States for 1908-09,CN-US,,Foreign Commerce and Navigation of the United States,,,,,,9/1/1908,
Annual Report. Foreign Commerce and Navigation of the United States for 1909-10,CN-US,,Foreign Commerce and Navigation of the United States,,,,,,10/1/1909,
Annual Report. Foreign Commerce and Navigation of the United States for 1910-11,CN-US,,Foreign Commerce and Navigation of the United States,,,,,,11/1/1910,
Annual Report. Foreign Commerce and Navigation of the United States for 1911-12,CN-US,,Foreign Commerce and Navigation of the United States,,,,,,1911,
Annual Report. Foreign Commerce and Navigation of the United States for 1912-13,CN-US,,Foreign Commerce and Navigation of the United States,,,,,,1912-13,
Annual Report. Foreign Commerce and Navigation of the United States for 1913-14,CN-US,,Foreign Commerce and Navigation of the United States,,,,,,1913-14,
Annual Statement of Trade of the United Kingdom with Foreign countries and British possessions.1853 (BNF: MICROFICHE M-15006 mf 59.414-417),AST-UK,,Annual Statement of Trade of the United Kingdom with Foreign countries and British possessions,,,,,BNF: MICROFICHE M-15006 mf 59.414-417,1853,
Annual Statement of Trade of the United Kingdom with Foreign countries and British possessions.1855 (BNF: MICROFICHE M-15006 mf 60.426-429),AST-UK,,Annual Statement of Trade of the United Kingdom with Foreign countries and British possessions,,,,,BNF: MICROFICHE M-15006 mf 60.426-429,1855,
Annual Statement of Trade of the United Kingdom with Foreign countries and British possessions.1860 (BNF: MICROFICHE M-15006 mf67.474-478),AST-UK,,Annual Statement of Trade of the United Kingdom with Foreign countries and British possessions,,,,,BNF: MICROFICHE M-15006 mf 67.474-478,1860,
"Annual Statement of Trade of the United Kingdom with Foreign countries and British possessions.1865 (BNF: MICROFICHE M-15006.mf72,526)",AST-UK,,Annual Statement of Trade of the United Kingdom with Foreign countries and British possessions,,,,,"BNF: MICROFICHE M-15006 mf 72,526",1865,
"Annual Statement of Trade of the United Kingdom with Foreign countries and British possessions.1870 (BNF: MICROFICHE M-15006.mf77,584)",AST-UK,,Annual Statement of Trade of the United Kingdom with Foreign countries and British possessions,,,,,"BNF: MICROFICHE M-15006 mf 77,584",1870,
Annual Statement of Trade of the United Kingdom with Foreign countries and British possessions.1875 (BNF: FOL-NW-13),AST-UK,,Annual Statement of Trade of the United Kingdom with Foreign countries and British possessions,,,,,BNF: FOL-NW-13,1875,
Annual Statement of Trade of the United Kingdom with Foreign countries and British possessions.1878 (BNF: FOL-NW-13),AST-UK,,Annual Statement of Trade of the United Kingdom with Foreign countries and British possessions,,,,,BNF: FOL-NW-13,1878,
Annual Statement of Trade of the United Kingdom with Foreign countries and British possessions.1882 (BNF: FOL-NW-13),AST-UK,,Annual Statement of Trade of the United Kingdom with Foreign countries and British possessions,,,,,BNF: FOL-NW-13,1882,
Annual Statement of Trade of the United Kingdom with Foreign countries and British possessions.1885 (BNF: FOL-NW-13),AST-UK,,Annual Statement of Trade of the United Kingdom with Foreign countries and British possessions,,,,,BNF: FOL-NW-13,1885,
Annual Statement of Trade of the United Kingdom with Foreign countries and British possessions.1890 (BNF: FOL-NW-13),AST-UK,,Annual Statement of Trade of the United Kingdom with Foreign countries and British possessions,,,,,BNF: FOL-NW-13,1890,
Annual Statement of Trade of the United Kingdom with Foreign countries and British possessions.1895 (BNF: FOL-NW-13),AST-UK,,Annual Statement of Trade of the United Kingdom with Foreign countries and British possessions,,,,,BNF: FOL-NW-13,1895,
Annual Statement of Trade of the United Kingdom with Foreign countries and British possessions.1898 (BNF: FOL-NW-13),AST-UK,,Annual Statement of Trade of the United Kingdom with Foreign countries and British possessions,,,,,BNF: FOL-NW-13,1898,
Annual Statement of Trade of the United Kingdom with Foreign countries and British possessions.1901 (BNF: FOL-NW-13),AST-UK,,Annual Statement of Trade of the United Kingdom with Foreign countries and British possessions,,,,,BNF: FOL-NW-13,1901,
Annual Statement of Trade of the United Kingdom with Foreign countries and British possessions.1905 (BNF: FOL-NW-13),AST-UK,,Annual Statement of Trade of the United Kingdom with Foreign countries and British possessions,,,,,BNF: FOL-NW-13,1905,
Annual Statement of Trade of the United Kingdom with Foreign countries and British possessions.1910 Vol II (Bibliothèque Cujas: 9.949),AST-UK,,Annual Statement of Trade of the United Kingdom with Foreign countries and British possessions,,,,,Bib. Cujas: 9.949,1910,
Annual Statement of Trade of the United Kingdom with Foreign countries and British possessions.1915 (BNF: FOL-NW-13),AST-UK,,Annual Statement of Trade of the United Kingdom with Foreign countries and British possessions,,,,,BNF: FOL-NW-13,1915,
Auswärtiger Handel des deutschen Zollgebiets… (1898),AH-ZV,,Auswärtiger Handel des deutschen Zollgebiets,1898,,,,,1880 bis 1896,
"B. R. Mitchell, International Historical Statistics, Africa, Asia and Oceania 1750-2005 (2007, 5e ed)",IHS,,International Historical Statistics,2007,"Africa, Asia, Oceania",,,,1750-2005,
"B. R. Mitchell, International Historical Statistics, Europe 1750-2005 (2007, 6e ed)",IHS,,International Historical Statistics,2007,Europe,,,,1750-2005,
"B. R. Mitchell, International Historical Statistics, The Americas 1750-2005 (2007, 6e ed)",IHS,,International Historical Statistics,2007,The Americas,,,,1750-2005,
"B.R. Mitchell, British Historical Statistics (2011)",HS-UK,,British Historical Statistics,2011,,,,,,
Bulletin du Ministère de l'agriculture et du commerce. 2ème série des Avis divers. 1842. BNF : 8-LC5-71 1842(SER2),ACE-2,,Bulletin du Ministère de l'agriculture et du commerce. 2e série Avis divers,1842,,,,BNF: 8-LC5-71 1842 (SER2),,
Bulletin du Ministère de l'agriculture et du commerce. 2ème série des Avis divers. Mars 1841. BNF : 8-LC5-71 1841(SER2),ACE-2,,Bulletin du Ministère de l'agriculture et du commerce. 2e série Avis divers,mars 1841,,,,BNF: 8-LC5-71 1841 (SER2),,
Bulletin du Ministère de l'agriculture et du commerce. 2ème série. Avis divers. 1840.,ACE-2,,Bulletin du Ministère de l'agriculture et du commerce. 2e série Avis divers,1840,,,,,,
Bulletin du Ministère de l'agriculture et du commerce. 2ème série. Avis divers. 1841.,ACE-2,,Bulletin du Ministère de l'agriculture et du commerce. 2e série Avis divers,1841,,,,,,
Bulletin du Ministère de l'agriculture et du commerce. 2ème série. Avis divers. Novembre 1842. BNF : 8-LC5-71 1842(SER2),ACE-2,,Bulletin du Ministère de l'agriculture et du commerce. 2e série Avis divers,nov. 1842,,,,BNF: 8-LC5-71 1842 (SER2),,
"Bulletin du Ministère de l'agriculture et du commerce. Bulletin n° 1. Partie non officielle. Avis divers - 2ème série. Paris, 1840. Cote BNF: 8-LC5-71 1840 (SER2)",ACE-2,,Bulletin du Ministère de l'agriculture et du commerce. 2e série Avis divers,1840,,,1,BNF: 8-LC5-71 1840 (SER2),,
"Bulletin du Ministère de l'agriculture et du commerce. Bulletin n° 11. Partie non officielle. Avis divers - 2ème série. Paris, octobre 1842. Cote BNF: 8-LC5-71 1842 (SER2)",ACE-2,,Bulletin du Ministère de l'agriculture et du commerce. 2e série Avis divers,oct. 1842,,,11,BNF: 8-LC5-71 1842 (SER2),,
"Bulletin du Ministère de l'agriculture et du commerce. Bulletin n° 13. Partie non officielle. Avis divers - 2ème série. Paris, mai 1842. Cote BNF: 8-LC5-71 1842 (SER2)",ACE-2,,Bulletin du Ministère de l'agriculture et du commerce. 2e série Avis divers,mai 1842,,,13,BNF: 8-LC5-71 1842 (SER2),,
"Bulletin du Ministère de l'agriculture et du commerce. Bulletin n° 14. Partie non officielle. Avis divers - 2ème série. Paris, juin 1842. Cote BNF: 8-LC5-71 1842 (SER2)",ACE-2,,Bulletin du Ministère de l'agriculture et du commerce. 2e série Avis divers,juin 1842,,,14,BNF: 8-LC5-71 1842 (SER2),,
"Bulletin du Ministère de l'agriculture et du commerce. Bulletin n° 2. Partie non officielle. Avis divers - 2ème série Paris, juin 1841. Cote BNF: 8-LC5-71 1841 (SER2).",ACE-2,,Bulletin du Ministère de l'agriculture et du commerce. 2e série Avis divers,juin 1841,,,2,BNF: 8-LC5-71 1841 (SER2),,
"Bulletin du Ministère de l'agriculture et du commerce. Bulletin n° 2. Partie non officielle. Avis divers - 2ème série. Paris, mai 1842. Cote BNF: 8-LC5-71 1842 (SER2)",ACE-2,,Bulletin du Ministère de l'agriculture et du commerce. 2e série Avis divers,mai 1842,,,2,BNF: 8-LC5-71 1842 (SER2),,
"Bulletin du Ministère de l'agriculture et du commerce. Bulletin n° 3. Partie non officielle. Avis divers - 2ème série. Paris, avril 1842. Cote BNF: 8-LC5-71 1842 (SER2)",ACE-2,,Bulletin du Ministère de l'agriculture et du commerce. 2e série Avis divers,avril 1842,,,3,BNF: 8-LC5-71 1842 (SER2),,
"Bulletin du Ministère de l'agriculture et du commerce. Bulletin n° 3. Partie non officielle. Avis divers - 2ème série. Paris, juillet 1841.",ACE-2,,Bulletin du Ministère de l'agriculture et du commerce. 2e série Avis divers,juil. 1841,,,3,,,
"Bulletin du Ministère de l'agriculture et du commerce. Bulletin n° 5. Partie non officielle. Avis divers - 2ème série. Paris, juillet 1841. Cote BNF: 8-LC5-71 1841 (SER2)",ACE-2,,Bulletin du Ministère de l'agriculture et du commerce. 2e série Avis divers,juil. 1841,,,5,BNF: 8-LC5-71 1841 (SER2),,
"Bulletin du Ministère de l'agriculture et du commerce. Bulletin n° 6. Partie non officielle. Avis divers - 2ème série. Paris, mars 1842. Cote BNF: 8-LC5-71 1842 (SER2)",ACE-2,,Bulletin du Ministère de l'agriculture et du commerce. 2e série Avis divers,mars 1842,,,6,BNF: 8-LC5-71 1842 (SER2),,
"Bulletin du Ministère de l'agriculture et du commerce. Bulletin n° 7. Partie non officielle. Avis divers - 2ème série. Paris, octobre 1841. Cote BNF: 8-LC5-71 1841 (SER2)",ACE-2,,Bulletin du Ministère de l'agriculture et du commerce. 2e série Avis divers,oct. 1841,,,7,BNF: 8-LC5-71 1841 (SER2),,
"Bulletin du Ministère de l'agriculture et du commerce. Bulletin n°2. Partie non officielle. Avis divers - 2ème série. Paris, 1840. Cote BNF: 8-LC5-71 1840 (SER2)",ACE-2,,Bulletin du Ministère de l'agriculture et du commerce. 2e série Avis divers,1840,,,2,BNF: 8-LC5-71 1840 (SER2),,
"Bulletin du Ministère de l'agriculture et du commerce. Bulletin n°4. Partie non officielle. Avis divers - 2ème série. Paris, août 1840. Cote BNF: 8-LC5-71 1840 (SER2)",ACE-2,,Bulletin du Ministère de l'agriculture et du commerce. 2e série Avis divers,août 1840,,,4,BNF: 8-LC5-71 1840 (SER2),,
"Bulletin du Ministère de l'agriculture et du commerce. Bulletin n°7. Partie non officielle. Avis divers - 2ème série. Paris, décembre 1840. Cote BNF: 8-LC5-71 1840 (SER2)",ACE-2,,Bulletin du Ministère de l'agriculture et du commerce. 2e série Avis divers,dec. 1840,,,7,BNF: 8-LC5-71 1840 (SER2),,
"Bulletin du Ministère de l'agriculture et du commerce. Bulletin n°9. Partie non officielle. Avis divers - 2ème série. Paris, mai 1841. Cote BNF: 8-LC5-71 1841 (SER2)",ACE-2,,Bulletin du Ministère de l'agriculture et du commerce. 2e série Avis divers,mai 1841,,,9,BNF: 8-LC5-71 1841 (SER2),,
"Currency_Annales du commerce extérieur, Egypte, Faits Commerciaux n°20.",ACE-3,,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Egypte,,20,,,
"Currency_Annales du commerce extérieur, Haïti, Faits commerciaux n° 1. 1 gourde = 5 francs.",ACE-3,,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Haïti,,,,,1 Gourde = 5 francs
"Currency_Annales du commerce extérieur, Uruguay, Faits commerciaux n° 6, octobre 1878 and French Franc.",ACE-3,,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Uruguay,,6,,,
"Currency_Annales du commerce extérieur, Uruguay, Faits Commerciaux N° 8,1873/03-1886/12 (N 5-9) and French Franc.",ACE-3,,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Uruguay,,8,,1873-1886,
"Currency_Annales du commerce extérieur. Chili. Faits commerciaux, n° 16. (mai 1861) BNF : LC5-138 (AR)",ACE-3,,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Chili,,16,,,
Currency_Annales du commerce extérieur. Faits Commerciaux n°10.,ACE-3,,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,?,,10,,,
Currency_Annales du Commerce extérieur. Faits Commerciaux. n°15.,ACE-3,,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,?,,15,,,
"Currency_Annales du commerce extérieur. La Plata. Faits commerciaux, n° 13. BNF : LC5-138 (Cs)",ACE-3,,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,La Plata,,13,,,
Currency_Annales du commerce extérieur. Mexique. Faits commerciaux n° 11.  BNF : LC5-138 (CY).,ACE-3,,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Mexique,,11,,,
"Currency_Annuaire Statistique de la France, 1932, p. 406.",AN-FR,,Annuaire Statistique de la France,,,406,1932,,,
Currency_At par with Portuguese Escudo,AN-FR,,Annuaire Statistique de la France,,,,,,,At par with Portuguese Escudo
Currency_Bank of Japan : http://www.imes.boj.or.jp/english/hstat/data/ferdd/index.html,IMES,,http://www.imes.boj.or.jp/english/hstat/data/ferdd/index.html,,,,,,,
"Currency_between 4 and 4,25 fr. according to Annales du commerce extérieur. Indes orientales anglaises. Faits commerciaux, n° 4. BNF : LC5-138 (Bi)",ACE-3,,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Indes orientales anglaises,,4,,,Estimated between 4 fr. and 4.25 fr.
"Currency_Calculated from League of Nations, Statistical Yearbook of the League of Nations.",SY-LoN,,Statistical Yearbook of the League of Nations,,,,,,,Estimated
Currency_Calculated from Statistical Abstract for the principal and other Foreign Countries,SA-FC,,Statistical Abstract for the principal and other Foreign Countries,,,,,,,
"Currency_Carreras and Tafunell (2005), table 9.19., pp. 703-704 and parity 1 Peseta=4 reales",HS-SP,,Estadísticas históricas de España,2005,,703-704,table 9.19,,,1 Peseta=4 reales
"Currency_Carreras and Tafunell (2005), table 9.19., pp. 703-705.",HS-SP,,Estadísticas históricas de España,2005,,703-705,table 9.19,,,
"Currency_Carter et al. (2006), vol. 5, Serie Ee612.",HS-USA,,Historical Statistics of the United States,2006,,serie Ee612,5,,,Dollar-Sterling par value
"Currency_Carter et al. (2006), vol. 5, Sight equivalent exchange rate, Serie Ee618",HS-USA,,Historical Statistics of the United States,2006,,serie Ee618,5,,,Sight equivalent exchange rate
"Currency_Communicated by Van der Eng (database on Exchange Rates in Asia, 1830-2003)",ER-ASI,,"Exchange Rates in Asia, 1830-2003 (unpublished)",,,,,,,
"Currency_Denzel (2010), 172-173.",HER,,"Handbook of World Exchange Rates, 1590-1914",2010,,172-173,,,,Genoa on London.
Currency_Denzel (2010),HER,,"Handbook of World Exchange Rates, 1590-1914",2010,,,,,,
"Currency_Denzel (2010), 211-212.",HER,,"Handbook of World Exchange Rates, 1590-1914",2010,,211-212,,,,Hamburg on London.
"Currency_Denzel (2010), 243-244.",HER,,"Handbook of World Exchange Rates, 1590-1914",2010,,243-244,,,,Berlin on London.
"Currency_Denzel (2010), 262-265.",HER,,"Handbook of World Exchange Rates, 1590-1914",2010,,262-265,,,,Vienna on London. In Guilders Konventionskurant.
"Currency_Denzel (2010), 310-312.",HER,,"Handbook of World Exchange Rates, 1590-1914",2010,,310-312,,,,Madrid on London
"Currency_Denzel (2010), 317-319.",HER,,"Handbook of World Exchange Rates, 1590-1914",2010,,317-319,,,,Zurich on London
"Currency_Denzel (2010), 333-336.",HER,,"Handbook of World Exchange Rates, 1590-1914",2010,,333-336,,,,Copenhagen on London
"Currency_Denzel (2010), 334-336.",HER,,"Handbook of World Exchange Rates, 1590-1914",2010,,334-336,,,,Copenhagen on London
"Currency_Denzel (2010), 368-372.",HER,,"Handbook of World Exchange Rates, 1590-1914",2010,,368-372,,,,Saint Petersburg on London. Banco roubles
"Currency_Denzel (2010), 393-395.",HER,,"Handbook of World Exchange Rates, 1590-1914",2010,,393-395,,,,Constantinople on London
"Currency_Denzel (2010), 417-420.",HER,,"Handbook of World Exchange Rates, 1590-1914",2010,,417-420,,,,New York on London
"Currency_Denzel (2010), 441-442.",HER,,"Handbook of World Exchange Rates, 1590-1914",2010,,441-442,,,,Quebec and Montreal on London
"Currency_Denzel (2010), 444 and US Dollar.",HER,,"Handbook of World Exchange Rates, 1590-1914",2010,,444,,,,Montreal on New York. And US dollar exchange rate
"Currency_Denzel (2010), 480-481.",HER,,"Handbook of World Exchange Rates, 1590-1914",2010,,480-481,,,,Valparaiso on London. Pesos corrientes. Pesos or notes.
"Currency_Denzel (2010), 485.",HER,,"Handbook of World Exchange Rates, 1590-1914",2010,,485,,,,Montevideo on London. Pesos gold.
"Currency_Denzel (2010), 500-502.",HER,,"Handbook of World Exchange Rates, 1590-1914",2010,,500-502,,,,Calcutta on London. Sicca rupees.
"Currency_Denzel (2010), 574-577.",HER,,"Handbook of World Exchange Rates, 1590-1914",2010,,574-577,,,,Tehran or Tabriz or Rasht or Mashhad or Bushire on London
"Currency_Denzel (2010), 594-595.",HER,,"Handbook of World Exchange Rates, 1590-1914",2010,,594-595,,,,Auckland or Wellington on London
"Currency_Denzel (2010), 603-605.",HER,,"Handbook of World Exchange Rates, 1590-1914",2010,,603-605,,,,Alexandria on London
"Currency_Denzel (2010), 69-72.",HER,,"Handbook of World Exchange Rates, 1590-1914",2010,,69-72,,,,Gulden flämisch Banco. Amsterdam on London.
Currency_Documens sur le commerce extérieur. Indes occidentales espagnoles. Faits commerciaux n° 1.  (mars 1844)  BNF : LC5-138 (CM),ACE-3,,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,mars 1844,Indes occidentales espagnoles,,1,BNF LC5-138 (CM),,
Currency_Documents sur le commerce extérieur. Amérique Latine. Chili. Faits commerciaux. n° 9 [BNF : LC5-138 (AR)],ACE-3,,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Chili,,9,,,
Currency_Documents sur le commerce extérieur. Amérique Latine. Pérou Faits commerciaux. N° 1 [BNF : LC5-138 (An)],ACE-3,,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Pérou,,1,,,
"Currency_Edvinsson, Jacobson, Waldenström (2010), pp. 322-324.",HMS-SWE,,"Historical Monetary and Financial Statistics for Sweden. Exchange rates, prices, and wages, 1277-2008",2010,,322-324,,,,
"Currency_Edvinsson, Jacobson, Waldenström (2010), pp. 370-371.",HMS-SWE,,"Historical Monetary and Financial Statistics for Sweden. Exchange rates, prices, and wages, 1277-2008",2010,,370-371,,,,
"Currency_Eitrheim, Klovland, Qvigstad, eds. (2004), pp. 304-314.",HMS-NOR,,Historical Monetary Statistics for Norway 1819-2004,2004,,304-314,,,,Average of monthly exchange rates. 1 Speciedaler = 4 Krone
"Currency_Estimated from Denzel (2010), 333-334, Copenhagen on Hamburg in rigsbankdaler and Denzel (2010), Hamburg on London, Hamburg Marco de banco.",HER,,"Handbook of World Exchange Rates, 1590-1914",2010,,333-334,,,,"Estimated from Copenhagen on Hamburg in rigsbankdaler and Hamburg on London, Hamburg Marco de banco."
"Currency_Estimated from Russian Ruble and silver roubles for 100 banco roubles in Denzel (2010), 359.",HER,,"Handbook of World Exchange Rates, 1590-1914",2010,,359,,,,Estimated from 1 silver ruble = 4 Finnish Markka and 100 banco rubles = 20 silver rubles.
"Currency_Extraits d'Avis Divers, XXVII, Septembre 1836.",ACE-1,,Extraits d'Avis Divers. 1e série Avis divers,sept. 1836,,,27,,,
"Currency_fixed exchange rate in Jan. 1912, Annales du commerce extérieur. Commerce et navigation des principaux pays étrangers, p.7.",ACE-4,,Annales du commerce extérieur. Commerce et navigation des principaux pays étrangers,,,7,,,,Fixed exchange rate in January 1912
Currency_Flandreau and Zumer (2004),OMF,,Les origines de la mondialisation financière,2004,,,,,,
"Currency_From Denzel (2010), 242-244. 1 German Mark = 3 thaler Prussian current.",HER,,"Handbook of World Exchange Rates, 1590-1914",2010,,242-244,,,,Estimated from 1 German Mark = 3 Thaler Prussian current. Berlin on London.
"Currency_From Denzel (2010), 285-289. 1 Livre tournois = 0.99 French Franc.",HER,,"Handbook of World Exchange Rates, 1590-1914",2010,,285-289,,,,Estimated from 1 Livre tournois = 0.99 French Franc. Paris on London
"Currency_From Denzel (2010), 307-312. 1 peso duro = 5.19 pesetas.",HER,,"Handbook of World Exchange Rates, 1590-1914",2010,,307-312,,,,Estimated from 1 peso duro = 5.19 pesetas. Madrid on London
Currency_http://moxlad.fcs.edu.uy/en/databaseaccess.html,MOxLAD,,http://www.lac.ox.ac.uk/moxlad-database,,,,,,,
Currency_http://www.ipeadata.gov.br,IPEA,,http://www.ipeadata.gov.br,,,,,,,
"Currency_Jaakko Autio, Valuuttakurssit Suomessa 1864-1991, Katsaus ja tilastosarjat, Bank of Finland Discussion Papers 1/92, pp. 197-199.",BP-FIN,,"Katsaus ja Tilastosarjat, Bank of Finland Discussion Papers",1992,,197-199,1/92,,,Valuuttakurssit Suomessa 1864-1991
Currency_Jobst (2007),Jobst,,Jobst (2007),,,,,,,
Currency_Kostelenos et al.,K,,Kostelenos et al.,,,,,,,
"Currency_Memorandum sur le commerce international et sur les balances des paiements 1912-1926, vol II.",MC-SDN,,Mémorandum sur le commerce international et sur les balances des paiements,,,,2,,1912-1926,
"Currency_Ministère de l'Agriculture, du Commerce et des Travaux Publics. Annales du Commerce extérieur. 3ème série des avis divers, N° 1490. Faits Commerciaux N° 17. Paris, juin 1863 [Cote BNF: LC5-138 (AR)1843/03-1861/07 (N 1-4)]",ACE-3,,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,juin 1863,"Chili, Paraguay, Plata, Uruguay",,17,,,
"Currency_Reis=Milreis*1000 & Schneider et al (1991), vol. I,II, pp.  62-66; Londres sur Lisbonne, 60 jours (1815-1850) et 3 mois (1851-1913).",WdW,,Währungen der Welt,1991,Europäische und Nordamerikanische Devisenkurze,62-66,1(2),,1777-1914,"London on Lisbon, 60 jours (1815-1850) and 3 mois (1851-1913). 1 Portuguese Milreis = 1 Portuguese Reis/1000"
"Currency_Salvadoran Silber Peso. Estimation from Schneider et al. (1997), pp. 60-61. 1 £ = 5 Gold Peso ; 1 Gold Peso ~ 2 Silber Peso.",WdW,,Währungen der Welt,1997,Europäische und Nordamerikanische Devisenkurze,60-61,2,,1914-1951,Estimated from 1 Sterling Pound = 5 Gold Peso and 1 Gold Peso = 2 Silber Peso
"Currency_Schneider et al (1991), vol I, II, London on Bordeaux, pp. 29-30,",WdW,,Währungen der Welt,1991,Europäische und Nordamerikanische Devisenkurze,29-30,1(2),,1777-1914,
"Currency_Schneider et al (1991), vol I, II, London on Madrid, 3 months, pp. 43-46 and parity 1 Peseta=4 reales",WdW,,Währungen der Welt,1991,Europäische und Nordamerikanische Devisenkurze,43-46,1(2),,1777-1914,"London on Madrid, 3 months and parity 1 Peseta=4 reales"
"Currency_Schneider et al (1991), vol I, II, London on Rotterdam, pp. 17-18.",WdW,,Währungen der Welt,1991,Europäische und Nordamerikanische Devisenkurze,17-18,1(2),,1777-1914,Gulden flämisch Banco
"Currency_Schneider et al (1991), vol. I,II, pp.  61-66; London on Lissabon, 60 days (1790-1850) and 3 months (1851-1913).",WdW,,Währungen der Welt,1991,Europäische und Nordamerikanische Devisenkurze,61-66,1(2),,1777-1914,
"Currency_Schneider et al (1997), vol II, London on Paris, p. 30.",WdW,,Währungen der Welt,1997,Europäische und Nordamerikanische Devisenkurze,30,2,,1914-1951,
