slug,acronym,author,name,edition_date,country,pages,volume,shelf_number,dates,notes
Annales du commerce extérieur. Association allemande. Faits commerciaux n° 32. BNF : LC5-138 (AH).,ACE-3,,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Association allemande,,32,BNF: LC5-138 (AH),,
Annales du commerce extérieur. Association allemande. Faits commerciaux n° 35. BNF : LC5-138 (AH),ACE-3,,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Association allemande,,35,BNF: LC5-138 (AH),,
Annales du commerce extérieur. Association allemande. Faits commerciaux. N° 12 [BNF : LC5-138 (AH)],ACE-3,,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Association allemande,,12,BNF: LC5-138 (AH),,
Annales du commerce extérieur. Australie et Océanie. Faits commerciaux n° 20.  (nov. 1866)  BNF : LC5-138 (DB),ACE-3,,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Océanie et Australie,,20,BNF: LC5-138 (DB),11/1/1866,
"Annales du commerce extérieur. Autriche. Faits commerciaux, n°10. BNF : LC5-138 (Aj) .",ACE-3,,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Autriche,,10,BNF: LC5-138 (AJ),,
"Annales du commerce extérieur. Autriche. Faits commerciaux, n°13. BNF : LC5-138 (Aj) .",ACE-3,,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Autriche,,13,BNF: LC5-138 (AJ),,
"Annales du commerce extérieur. Autriche. Faits commerciaux, n°17. BNF : LC5-138 (Aj) .",ACE-3,,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Autriche,,17,BNF: LC5-138 (AJ),,
"Annales du commerce extérieur. Autriche. Faits commerciaux, n°18. BNF : LC5-138 (Aj) .",ACE-3,,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Autriche,,18,BNF: LC5-138 (AJ),,
"Annales du commerce extérieur. Autriche. Faits commerciaux, n°19. BNF : LC5-138 (Aj) .",ACE-3,,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Autriche,,19,BNF: LC5-138 (AJ),,
"Annales du commerce extérieur. Autriche. Faits commerciaux, n°3. BNF : LC5-138 (Aj) .",ACE-3,,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Autriche,,3,BNF: LC5-138 (AJ),,
"Annales du commerce extérieur. Autriche. Faits commerciaux, n°5. BNF : LC5-138 (Aj) .",ACE-3,,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Autriche,,5,BNF: LC5-138 (AJ),,
"Annales du commerce extérieur. Autriche. Faits commerciaux, n°6. BNF : LC5-138 (Aj) .",ACE-3,,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Autriche,,6,BNF: LC5-138 (AJ),,
"Annales du commerce extérieur. Autriche. Faits commerciaux, n°7. BNF : LC5-138 (Aj) .",ACE-3,,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Autriche,,7,BNF: LC5-138 (AJ),,
"Annales du commerce extérieur. Autriche. Faits commerciaux, n°8. BNF : LC5-138 (Aj) .",ACE-3,,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Autriche,,8,BNF: LC5-138 (AJ),,
"Annales du commerce extérieur. Chine. Faits commerciaux, n°1. BNF : LC5-138 (AT) .",ACE-3,,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Chine,,1,BNF: LC5-138 (AT),,
"Annales du commerce extérieur. Chine. Faits commerciaux, n°14. BNF : LC5-138 (AT) .",ACE-3,,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Chine,,14,BNF: LC5-138 (AT),,
"Annales du commerce extérieur. Chine. Faits commerciaux, n°33. BNF : LC5-138 (AT) .",ACE-3,,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Chine,,33,BNF: LC5-138 (AT),,
"Annales du commerce extérieur. Chine. Faits commerciaux, n°35. BNF : LC5-138 (AT) .",ACE-3,,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Chine,,35,BNF: LC5-138 (AT),,
"Annales du commerce extérieur. Chine. Faits commerciaux, n°36. BNF : LC5-138 (AT) .",ACE-3,,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Chine,,36,BNF: LC5-138 (AT),,
"Annales du commerce extérieur. Chine. Faits commerciaux, n°38. BNF : LC5-138 (AT) .",ACE-3,,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Chine,,38,BNF: LC5-138 (AT),,
"Annales du commerce extérieur. Chine. Faits commerciaux, n°8. BNF : LC5-138 (AT) .",ACE-3,,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Chine,,8,BNF: LC5-138 (AT),,
"Annales du commerce extérieur. Chine. Faits commerciaux, n°9. BNF : LC5-138 (AT) .",ACE-3,,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Chine,,9,BNF: LC5-138 (AT),,
"Annales du commerce extérieur. Colonies anglaises d'Afrique. Faits commerciaux, n° 1. BNF : LC5-138(AV).",ACE-3,,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Colonies anglaises d'Afrique,,1,BNF: LC5-138 (AV),,
"Annales du commerce extérieur. Colonies anglaises d'Afrique. Faits commerciaux, n° 13. BNF : LC5-138(AV).",ACE-3,,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Colonies anglaises d'Afrique,,13,BNF: LC5-138 (AV),,
