year,reporting,partner,flow,expimp,nb,"group_concat(distinct partner)"
1901,Lagos,Nigeria,395.0,Imp,11,"Akassa,Bonny River,Brass (Nigeria),Degema (Nigeria),Forçados River,Jebba,Lokoja,Onitsha,Opobo,Sapele (Nigeria),Warri"
1902,Lagos,Nigeria,1467.0,Imp,11,"Akassa,Bonny River,Brass (Nigeria),Burutu,Degema (Nigeria),Forçados River,Lokoja,Onitsha,Opobo,Sapele (Nigeria),Warri"
1903,Lagos,Nigeria,3225.0,Imp,11,"Akassa,Bonny River,Brass (Nigeria),Burutu,Degema (Nigeria),Forçados River,Lokoja,Onitsha,Opobo,Sapele (Nigeria),Warri"
1900,Lagos,Nigeria,714.0,Imp,10,"Akassa,Bonny River,Brass (Nigeria),Burutu,Forçados River,Jebba,Onitsha,Opobo,Sapele (Nigeria),Warri"
1862,"Antigua and Barbuda (Antigua)","Nova Scotia",3484.0,Exp,9,"Digby,Lunenburg,Havre Boucher,Port Medway,Halifax,Annapolis,Weymouth,Yarmouth,Shelburne"
1862,"Antigua and Barbuda (Antigua)","Nova Scotia",11798.0,Imp,9,"Digby,Lunenburg,Havre Boucher,Port Medway,Halifax,Annapolis,Weymouth,Yarmouth,Tusket Is."
1899,Lagos,Nigeria,5909.0,Imp,8,"Akassa,Bonny River,Brass (Nigeria),Forçados River,Opobo,Sapele (Nigeria),Warri,Burutu"
1902,Lagos,Nigeria,1621.0,Exp,8,"Akassa,Bonny River,Brass (Nigeria),Burutu,Forçados River,Lokoja,Opobo,Warri"
1903,Lagos,Nigeria,2050.0,Exp,8,"Bonny River,Brass (Nigeria),Burutu,Forçados River,Lokoja,Opobo,Sapele (Nigeria),Warri"
1889,Lagos,"Ghana (Gold Coast)",5603.5,Imp,7,"Cape Coast Castle,Accra,Saltpond,Winneba,Elmina,Prampram,Axim"
1893,Lagos,"Ghana (Gold Coast)",21260.0,Imp,7,"Cape Coast Castle,Elmina,Saltpond,Winneba,Accra,Akuse,Volta Region"
1897,Lagos,Nigeria,2476.0,Imp,7,"Akassa,Bonny River,Brass (Nigeria),Forçados River,Opobo,Sapele (Nigeria),Warri"
1898,Lagos,Nigeria,3814.0,Imp,7,"Akassa,Bonny River,Brass (Nigeria),Forçados River,Opobo,Sapele (Nigeria),Warri"
1893,Lagos,Nigeria,1018.0,Imp,6,"Forçados River,Opobo,Brass (Nigeria),Bonny River,Warri,Akassa"
1894,Lagos,"Ghana (Gold Coast)",26207.5,Imp,6,"Accra,Cape Coast Castle,Elmina,Saltpond,Winneba,Axim"
1896,Lagos,Nigeria,1302.0,Imp,6,"Akassa,Bonny River,Brass (Nigeria),Forçados River,Opobo,Sapele (Nigeria)"
1901,Lagos,Nigeria,1109.5,Exp,6,"Akassa,Bonny River,Brass (Nigeria),Burutu,Opobo,Sapele (Nigeria)"
1903,Lagos,"Ghana (Gold Coast)",6511.0,Exp,6,"Accra,Axim,Cape Coast Castle,Prampram,Saltpond,Sekondi-Takoradi"
1854,Singapore,India,169740.234296909,Exp,6,"Mumbai (Bombay),Kolkata (Calcutta),Chittagong,Fort St. George,Nagore,Nagapattinam"
1855,Singapore,India,173516.054772772,Exp,6,"Mumbai (Bombay),Kolkata (Calcutta),Kuddalore,Fort St. George,Nagore,Nagapattinam"
1901,Australia,"Indonesia (Dutch East Indies)",204126.0,Exp,5,"Dutch Borneo,Sulawesi (Celebes),Java,Maluku Islands (Mollucas),Sumatra"
1902,Australia,"Indonesia (Dutch East Indies)",184534.0,Exp,5,"Dutch Borneo,Sulawesi (Celebes),Java,Maluku Islands (Mollucas),Sumatra"
1903,Australia,"Indonesia (Dutch East Indies)",111080.0,Exp,5,"Dutch Borneo,Sulawesi (Celebes),Java,Maluku Islands (Mollucas),Sumatra"
1906,Australia,"Indonesia (Dutch East Indies)",233775.0,Exp,5,"Dutch Borneo,Sulawesi (Celebes),Java,Maluku Islands (Mollucas),Sumatra"
1907,Australia,"Indonesia (Dutch East Indies)",297514.0,Exp,5,"Dutch Borneo,Sulawesi (Celebes),Java,Maluku Islands (Mollucas),Sumatra"
1908,Australia,"Indonesia (Dutch East Indies)",281442.0,Exp,5,"Dutch Borneo,Sulawesi (Celebes),Java,Maluku Islands (Mollucas),Sumatra"
1909,Australia,"Indonesia (Dutch East Indies)",345732.0,Exp,5,"Dutch Borneo,Sulawesi (Celebes),Java,Maluku Islands (Mollucas),Sumatra"
1909,Australia,"Indonesia (Dutch East Indies)",1079079.0,Imp,5,"Dutch Borneo,Sulawesi (Celebes),Java,Maluku Islands (Mollucas),Sumatra"
1910,Australia,"Indonesia (Dutch East Indies)",392124.0,Exp,5,"Dutch Borneo,Sulawesi (Celebes),Java,Maluku Islands (Mollucas),Sumatra"
1911,Australia,"Indonesia (Dutch East Indies)",561521.0,Exp,5,"Dutch Borneo,Sulawesi (Celebes),Java,Maluku Islands (Mollucas),Sumatra"
1878,"Cape Colony (Cape of Good Hope)",India,121352.0,Imp,5,"Mumbai (Bombay),Kolkata (Calcutta),Kalingapatnam,Mangalore,Thalassery"
1846,"Cape Town",India,14781.0,Imp,5,"Mumbai (Bombay),Nagapattinam,Kalingapatnam,Coringa (India),Kolkata (Calcutta)"
1885,Lagos,"Ghana (Gold Coast)",5810.0,Exp,5,"Accra,Cape Coast Castle,Winneba,Elmina,Saltpond"
1885,Lagos,"Ghana (Gold Coast)",2690.0,Imp,5,"Accra,Cape Coast Castle,Winneba,Elmina,Saltpond"
1886,Lagos,"Ghana (Gold Coast)",3015.0,Imp,5,"Cape Coast Castle,Accra,Winneba,Elmina,Saltpond"
1887,Lagos,"Ghana (Gold Coast)",3536.0,Imp,5,"Accra,Cape Coast Castle,Saltpond,Winneba,Elmina"
1887,Lagos,Nigeria,9565.0,Imp,5,"Opobo,Brass (Nigeria),Bonny River,Akassa,Forçados River"
1891,Lagos,Nigeria,594.0,Imp,5,"Bonny River,Opobo,Forçados River,Bakana,Brass (Nigeria)"
1892,Lagos,Nigeria,598.0,Imp,5,"Opobo,Brass (Nigeria),Bonny River,Forçados River,Warri"
1895,Lagos,"Ghana (Gold Coast)",32058.0,Exp,5,"Cape Coast Castle,Saltpond,Axim,Accra,Elmina"
1895,Lagos,"Ghana (Gold Coast)",20262.0,Imp,5,"Cape Coast Castle,Saltpond,Axim,Accra,Elmina"
1895,Lagos,Nigeria,642.0,Imp,5,"Brass (Nigeria),Forçados River,Bonny River,Opobo,Akassa"
1897,Lagos,Nigeria,1573.5,Exp,5,"Akassa,Bonny River,Brass (Nigeria),Opobo,Warri"
1899,Lagos,"Ghana (Gold Coast)",40398.0,Imp,5,"Accra,Axim,Cape Coast Castle,Saltpond,Winneba"
1901,Lagos,"Ghana (Gold Coast)",34148.0,Imp,5,"Accra,Axim,Cape Coast Castle,Saltpond,Sekondi-Takoradi"
1902,Lagos,"Ghana (Gold Coast)",34018.0,Imp,5,"Accra,Axim,Cape Coast Castle,Saltpond,Sekondi-Takoradi"
1903,Lagos,"Ghana (Gold Coast)",39350.0,Imp,5,"Accra,Axim,Cape Coast Castle,Saltpond,Sekondi-Takoradi"
1855,Singapore,India,623389.402659258,Imp,5,"Mumbai (Bombay),Kolkata (Calcutta),Fort St. George,Nagapattinam,Thoothukudi (Tuticorin)"
1841,Venezuela,"United States of America",278597.640631804,Exp,5,"Philadelphia,New York,Baltimore,Boston,New Orleans"
1841,Venezuela,"United States of America",188581.251731919,Imp,5,"Philadelphia,New York,Baltimore,Boston,New Orleans"
1842,Venezuela,Spain,147368.342498036,Exp,5,"Barcelona,Cadix,Bilbao,Málaga,Santander"
1842,Venezuela,"United States of America",308126.944226237,Exp,5,"Baltimore,Boston,Philadelphia,New Orleans,New York"
1842,Venezuela,"United States of America",165581.657501964,Imp,5,"Baltimore,Boston,Philadelphia,New Orleans,New York"
1843,Venezuela,"United States of America",243806.577763873,Exp,5,"Baltimore,Boston,Philadelphia,New Orleans,New York"
1843,Venezuela,"United States of America",118187.595322827,Imp,5,"Baltimore,Boston,Philadelphia,New Orleans,New York"
1899,Australia,"Indonesia (Dutch East Indies)",150528.0,Exp,4,"Dutch Borneo,Sulawesi (Celebes),Java,Maluku Islands (Mollucas)"
1900,Australia,"Indonesia (Dutch East Indies)",160641.0,Exp,4,"Dutch Borneo,Sulawesi (Celebes),Java,Maluku Islands (Mollucas)"
1901,Australia,"Indonesia (Dutch East Indies)",938145.0,Imp,4,"Dutch Borneo,Sulawesi (Celebes),Java,Maluku Islands (Mollucas)"
1902,Australia,"Indonesia (Dutch East Indies)",761295.0,Imp,4,"Dutch Borneo,Sulawesi (Celebes),Java,Sumatra"
1903,Australia,"Indonesia (Dutch East Indies)",807741.0,Imp,4,"Dutch Borneo,Sulawesi (Celebes),Java,Sumatra"
1904,Australia,"Indonesia (Dutch East Indies)",135510.0,Exp,4,"Sulawesi (Celebes),Java,Maluku Islands (Mollucas),Sumatra"
1904,Australia,"Indonesia (Dutch East Indies)",310023.0,Imp,4,"Dutch Borneo,Java,Maluku Islands (Mollucas),Sumatra"
1905,Australia,"Indonesia (Dutch East Indies)",182726.0,Exp,4,"Sulawesi (Celebes),Java,Maluku Islands (Mollucas),Sumatra"
1906,Australia,"Indonesia (Dutch East Indies)",552887.0,Imp,4,"Sulawesi (Celebes),Java,Maluku Islands (Mollucas),Sumatra"
1910,Australia,"Indonesia (Dutch East Indies)",581185.0,Imp,4,"Dutch Borneo,Sulawesi (Celebes),Java,Sumatra"
1911,Australia,"Indonesia (Dutch East Indies)",778987.0,Imp,4,"Dutch Borneo,Sulawesi (Celebes),Java,Sumatra"
1856,Bremen,"Myanmar (Burma)",209038.713910761,Imp,4,"Arakan,Bassein River,Mawlamyine,Rangoon"
1855,"Cape Colony (Cape of Good Hope)","Namibia (South West Africa) (German South West Africa)",861.0,Imp,4,"Namaqualand,Sandwich Harbour,Ichaboe Island,Angra Pequena"
1856,"Cape Colony (Cape of Good Hope)","Myanmar (Burma)",2928.0,Imp,4,"Rangoon,Mawlamyine,Arakan,Bassein River"
1856,"Cape Colony (Cape of Good Hope)","Namibia (South West Africa) (German South West Africa)",1709.0,Imp,4,"Sandwich Harbour,Ichaboe Island,Angra Pequena,Namaqualand"
1857,"Cape Colony (Cape of Good Hope)","Namibia (South West Africa) (German South West Africa)",1892.0,Imp,4,"Angra Pequena,Sandwich Harbour,Ichaboe Island,Namaqualand"
1859,"Cape Colony (Cape of Good Hope)",India,45587.0,Imp,4,"Mumbai (Bombay),Karachi,Kakinada,Thoothukudi (Tuticorin)"
