reporting,year,expimp,partner,flow,count(*),part_ofs
Spain,1839,Exp,"United Kingdom",1460112.9404279,9,"Cadix,A Coruna,Balearic Islands,Cartagena (Spain),Málaga,Bilbao,Santander,Gijón,San Sebastián"
Spain,1839,Imp,France,561202.576950608,9,"Cadix,A Coruna,Balearic Islands,Cartagena (Spain),Málaga,Bilbao,Santander,Gijón,San Sebastián"
Spain,1839,Imp,"United Kingdom",472520.480394496,9,"Cadix,A Coruna,Balearic Islands,Cartagena (Spain),Málaga,Bilbao,Santander,Gijón,San Sebastián"
Spain,1840,Exp,France,531112.083018568,9,"Cadix,Málaga,Cartagena (Spain),San Sebastián,Bilbao,Santander,Gijón,A Coruna,Balearic Islands"
Spain,1840,Imp,France,559818.695081707,9,"Cadix,Málaga,Cartagena (Spain),San Sebastián,Bilbao,Santander,Gijón,A Coruna,Balearic Islands"
Spain,1839,Exp,France,504135.846655532,8,"Cadix,A Coruna,Balearic Islands,Cartagena (Spain),Málaga,Bilbao,Santander,San Sebastián"
Spain,1839,Imp,"World (other)",2282868.05058459,8,"Cadix,A Coruna,Balearic Islands,Cartagena (Spain),Málaga,Santander,Gijón,San Sebastián"
Spain,1840,Exp,"World as reported2",3296091.60669556,8,"Cadix,Málaga,Cartagena (Spain),San Sebastián,Bilbao,Santander,Gijón,A Coruna"
Spain,1840,Imp,"United Kingdom",474374.776350841,8,"Cadix,Málaga,Cartagena (Spain),San Sebastián,Bilbao,Santander,Gijón,A Coruna"
Spain,1840,Imp,"World as reported2",2616953.60025446,8,"Cadix,Málaga,Cartagena (Spain),San Sebastián,Bilbao,Santander,Gijón,A Coruna"
Spain,1838,Exp,"United Kingdom",1325620.64759806,7,"Málaga,Bilbao,A Coruna,Cadix,Santander,Gijón,Cartagena (Spain)"
Spain,1838,Imp,France,406043.19943345,7,"Málaga,Bilbao,A Coruna,Cadix,Santander,Gijón,Cartagena (Spain)"
Spain,1839,Exp,"World (other)",3132824.30605265,7,"Cadix,A Coruna,Balearic Islands,Cartagena (Spain),Málaga,Santander,Gijón"
Spain,1840,Exp,"United Kingdom",1465428.80998767,7,"Cadix,Málaga,Cartagena (Spain),San Sebastián,Bilbao,Santander,Gijón"
Spain,1833,Exp,France,509684.622918707,6,"Málaga,Bilbao,Santander,Cadix,San Sebastián,Balearic Islands"
Spain,1833,Exp,"United Kingdom",1173520.07835455,6,"Málaga,Bilbao,Santander,Cadix,San Sebastián,Balearic Islands"
Spain,1833,Exp,"World as reported",2636924.58374143,6,"Málaga,Bilbao,Santander,Cadix,San Sebastián,Balearic Islands"
Spain,1833,Imp,France,364771.792360431,6,"Málaga,Bilbao,Santander,Cadix,San Sebastián,Balearic Islands"
Spain,1833,Imp,"World as reported",2223212.5367287,6,"Málaga,Bilbao,Santander,Cadix,San Sebastián,Balearic Islands"
Spain,1834,Exp,France,260348.506401138,6,"Málaga,Bilbao,Santander,Cadix,Cartagena (Spain),A Coruna"
Spain,1834,Exp,"World as reported2",2677034.92966651,6,"Málaga,Bilbao,Santander,Cadix,Cartagena (Spain),A Coruna"
Spain,1834,Imp,France,315821.084242137,6,"Málaga,Bilbao,Santander,Cadix,Cartagena (Spain),A Coruna"
Spain,1834,Imp,"United Kingdom",598597.281492018,6,"Málaga,Bilbao,Santander,Cadix,Cartagena (Spain),A Coruna"
Spain,1834,Imp,"World as reported2",2333704.75738897,6,"Málaga,Bilbao,Santander,Cadix,Cartagena (Spain),A Coruna"
Spain,1835,Exp,France,465608.403162988,6,"Cartagena (Spain),Cadix,Málaga,Bilbao,Santander,A Coruna"
Spain,1835,Exp,"United Kingdom",1076714.26885401,6,"Cartagena (Spain),Cadix,Málaga,Bilbao,Santander,A Coruna"
Spain,1835,Exp,"World as reported2",3048853.22003226,6,"Cartagena (Spain),Cadix,Málaga,Bilbao,Santander,A Coruna"
Spain,1835,Imp,France,447633.659860734,6,"Cartagena (Spain),Cadix,Málaga,Bilbao,Santander,A Coruna"
Spain,1835,Imp,"United Kingdom",644218.891380463,6,"Cartagena (Spain),Cadix,Málaga,Bilbao,Santander,A Coruna"
Spain,1835,Imp,"World as reported2",2711570.08536921,6,"Cartagena (Spain),Cadix,Málaga,Bilbao,Santander,A Coruna"
Spain,1838,Exp,France,352665.538812606,6,"Málaga,Bilbao,A Coruna,Cadix,Santander,Cartagena (Spain)"
Spain,1838,Imp,"United Kingdom",547621.670535468,6,"Málaga,Bilbao,A Coruna,Cadix,Santander,Cartagena (Spain)"
Spain,1839,Imp,Cuba,569394.734749065,6,"Cadix,A Coruna,Cartagena (Spain),Málaga,Santander,Gijón"
Spain,1839,Imp,"Norway & Sweden",108884.116758132,6,"Cadix,A Coruna,Málaga,Bilbao,Santander,Gijón"
Spain,1840,Imp,Cuba,593296.489205201,6,"Cadix,Málaga,Cartagena (Spain),Santander,Gijón,A Coruna"
Spain,1840,Imp,"Norway & Sweden",79082.3426503916,6,"Cadix,Málaga,Bilbao,Santander,Gijón,A Coruna"
Brazil,1843,Exp,"World (other)",11655706.3861405,5,"Rio de Janeiro,Bahia,Pará,Maranhão,Bahia & Pernambuco & Pará & Rio de Janeiro"
Brazil,1843,Imp,"World (other)",13133824.410465,5,"Rio de Janeiro,Bahia,Pará,Maranhão,Bahia & Pernambuco & Pará & Rio de Janeiro"
Brazil,1850,Exp,France,571919.702837272,5,"Rio de Janeiro,Pernambuco,Maranhão,Pará,Bahia"
Brazil,1850,Exp,"United States of America",210183.355725915,5,"Rio de Janeiro,Pernambuco,Maranhão,Pará,Bahia"
Brazil,1850,Exp,"World as reported2",8021773.49245238,5,"Rio de Janeiro,Pernambuco,Maranhão,Pará,Bahia"
Brazil,1850,Imp,France,1109499.72338576,5,"Rio de Janeiro,Pernambuco,Maranhão,Pará,Bahia"
Brazil,1850,Imp,"United States of America",1087686.71461314,5,"Rio de Janeiro,Pernambuco,Maranhão,Pará,Bahia"
"Kingdom of Sardinia",1834,Imp,France,1560131.18381539,5,"Sardinia,Nice,Kingdom of Sardinia (continental),Genoa,Imperia (Porto Maurizio)"
"Kingdom of Sardinia",1834,Imp,Tuscany,649549.54954955,5,"Sardinia,Nice,Kingdom of Sardinia (continental),Genoa,Imperia (Porto Maurizio)"
"Kingdom of Sardinia",1834,Imp,"Two Sicilies",2409783.4676782,5,"Sardinia,Nice,Kingdom of Sardinia (continental),Genoa,Imperia (Porto Maurizio)"
Spain,1832,Exp,France,315198.126097989,5,"Málaga,Bilbao,San Sebastián,Cadix,Cartagena (Spain)"
Spain,1832,Exp,"United Kingdom",1335643.17782549,5,"Málaga,Bilbao,San Sebastián,Cadix,Cartagena (Spain)"
Spain,1832,Exp,"World as reported",2826679.67987507,5,"Málaga,Bilbao,San Sebastián,Cadix,Cartagena (Spain)"
Spain,1832,Imp,France,298180.753464767,5,"Málaga,Bilbao,San Sebastián,Cadix,Cartagena (Spain)"
Spain,1832,Imp,"United Kingdom",502436.072613703,5,"Málaga,Bilbao,San Sebastián,Cadix,Cartagena (Spain)"
Spain,1832,Imp,"World as reported",1959461.25317197,5,"Málaga,Bilbao,San Sebastián,Cadix,Cartagena (Spain)"
Spain,1833,Imp,"United Kingdom",642942.213516161,5,"Málaga,Bilbao,Cadix,San Sebastián,Balearic Islands"
Spain,1834,Exp,"United Kingdom",1161782.83546705,5,"Málaga,Bilbao,Santander,Cadix,Cartagena (Spain)"
Spain,1835,Imp,"Norway & Sweden",41193.595342067,5,"Cadix,Málaga,Bilbao,Santander,A Coruna"
Spain,1836,Exp,France,443997.005398164,5,"Málaga,A Coruna,Catalonia,Cartagena (Spain),Bilbao"
Spain,1836,Exp,"United Kingdom",1265424.16958903,5,"Málaga,A Coruna,Catalonia,Cartagena (Spain),Bilbao"
Spain,1836,Imp,France,340135.545135742,5,"Málaga,A Coruna,Catalonia,Cartagena (Spain),Bilbao"
Spain,1836,Imp,"United Kingdom",610752.984751172,5,"Málaga,A Coruna,Catalonia,Cartagena (Spain),Bilbao"
Spain,1838,Imp,Cuba,462104.10355274,5,"A Coruna,Cadix,Santander,Gijón,Cartagena (Spain)"
Spain,1838,Imp,"Norway & Sweden",91545.0289176535,5,"Málaga,Bilbao,A Coruna,Santander,Gijón"
Spain,1838,Imp,"Puerto Rico",125530.156981548,5,"Málaga,A Coruna,Cadix,Santander,Cartagena (Spain)"
Spain,1839,Exp,Cuba,520798.536546568,5,"Cadix,A Coruna,Málaga,Santander,Gijón"
Spain,1839,Imp,"Hanse Towns (Bremen & Hamburg & Lübeck)",62992.125984252,5,"Cadix,A Coruna,Málaga,Bilbao,Santander"
Spain,1839,Imp,"Puerto Rico",118587.449296111,5,"Cadix,A Coruna,Cartagena (Spain),Málaga,Santander"
Spain,1839,Imp,"Russia (USSR)",37580.529706514,5,"Cadix,A Coruna,Málaga,Bilbao,Santander"
Spain,1840,Exp,Cuba,518110.611904099,5,"Cadix,Málaga,Santander,Gijón,A Coruna"
Spain,1840,Imp,"Puerto Rico",181344.67814401,5,"Cadix,Málaga,Cartagena (Spain),Santander,A Coruna"
Spain,1840,Imp,"United States of America",46558.7849389686,5,"Cadix,Málaga,Bilbao,A Coruna,Balearic Islands"
Brazil,1841,Exp,"World (other)",9951545.86120898,4,"Rio de Janeiro,Bahia,Pernambuco,Bahia & Pernambuco & Rio de Janeiro"
Brazil,1841,Imp,"World (other)",13492339.9707058,4,"Rio de Janeiro,Bahia,Pernambuco,Bahia & Pernambuco & Rio de Janeiro"
Brazil,1846,Exp,France,507713.939772683,4,"Rio de Janeiro,Bahia,Pernambuco,Pará"
Brazil,1846,Exp,Portugal,441784.165918056,4,"Rio de Janeiro,Bahia,Pernambuco,Pará"
Brazil,1846,Exp,"United States of America",1580439.79221185,4,"Rio de Janeiro,Bahia,Pernambuco,Pará"
Brazil,1846,Imp,France,1035113.07268679,4,"Rio de Janeiro,Bahia,Pernambuco,Pará"
Brazil,1846,Imp,Portugal,650900.285122837,4,"Rio de Janeiro,Bahia,Pernambuco,Pará"
Brazil,1846,Imp,"United States of America",1070069.91368199,4,"Rio de Janeiro,Bahia,Pernambuco,Pará"
Brazil,1847,Imp,"World as reported2",7591712.25060013,4,"Pernambuco,Rio de Janeiro,Bahia,Pará"
Brazil,1850,Exp,Portugal,371730.024500119,4,"Rio de Janeiro,Pernambuco,Maranhão,Pará"
Brazil,1850,Exp,Spain,118588.477041018,4,"Rio de Janeiro,Pernambuco,Maranhão,Pará"
Brazil,1850,Imp,Belgium,257132.695803367,4,"Rio de Janeiro,Pernambuco,Maranhão,Pará"
Brazil,1850,Imp,Portugal,553979.293448194,4,"Rio de Janeiro,Pernambuco,Maranhão,Pará"
Brazil,1850,Imp,Spain,100410.969730499,4,"Rio de Janeiro,Pernambuco,Maranhão,Pará"
Brazil,1850,Imp,"United Kingdom",3037500.98790801,4,"Rio de Janeiro,Pernambuco,Maranhão,Pará"
Brazil,1850,Imp,"World as reported2",3005571.80115388,4,"Pernambuco,Maranhão,Pará,Bahia"
Brazil,1865,Exp,"World (other)",24725677.7676339,4,"Rio de Janeiro,Pernambuco,Bahia,Bahia & Pernambuco & Rio de Janeiro"
Brazil,1865,Imp,"World (other)",25189139.8404319,4,"Rio de Janeiro,Pernambuco,Bahia,Bahia & Pernambuco & Rio de Janeiro"
"Cape Colony (Cape of Good Hope)",1829,Exp,"World as reported",341477.0,4,"Cape Town,Port Simon,Port Elizabeth,Table Bay"
"Cape Colony (Cape of Good Hope)",1829,Imp,"World as reported",421641.0,4,"Cape Town,Port Simon,Port Elizabeth,Table Bay"
"Cape Colony (Cape of Good Hope)",1830,Exp,"World as reported",277044.0,4,"Cape Town,Port Simon,Port Elizabeth,Table Bay"
"Cape Colony (Cape of Good Hope)",1830,Imp,"World as reported",504565.0,4,"Cape Town,Port Simon,Port Elizabeth,Table Bay"
"Cape Colony (Cape of Good Hope)",1831,Exp,"World as reported",247772.0,4,"Cape Town,Port Simon,Port Elizabeth,Table Bay"
"Cape Colony (Cape of Good Hope)",1831,Imp,"World as reported",389724.0,4,"Cape Town,Port Simon,Port Elizabeth,Table Bay"
"Cape Colony (Cape of Good Hope)",1832,Exp,"World as reported",287746.0,4,"Cape Town,Port Simon,Port Elizabeth,Table Bay"
"Cape Colony (Cape of Good Hope)",1832,Imp,"World as reported",332006.0,4,"Cape Town,Port Simon,Port Elizabeth,Table Bay"
"Cape Colony (Cape of Good Hope)",1833,Exp,"World as reported",311282.0,4,"Cape Town,Port Simon,Port Elizabeth,Table Bay"
"Cape Colony (Cape of Good Hope)",1833,Imp,"World as reported",469098.0,4,"Cape Town,Port Simon,Port Elizabeth,Table Bay"
"Cape Colony (Cape of Good Hope)",1845,Imp,"Chennai (Madras) & Kolkata (Calcutta)",38614.9778228955,4,"Table Bay,Cape Town,Port Simon,Port Elizabeth"
"Cape Colony (Cape of Good Hope)",1845,Imp,Mauritius,40470.1379041075,4,"Table Bay,Cape Town,Port Simon,Port Elizabeth"
"Cape Colony (Cape of Good Hope)",1845,Imp,"United Kingdom",1264256.53506169,4,"Table Bay,Cape Town,Port Simon,Port Elizabeth"
"Cape Colony (Cape of Good Hope)",1845,Imp,"United States of America",44332.0659066063,4,"Table Bay,Cape Town,Port Simon,Port Elizabeth"
"Cape Colony (Cape of Good Hope)",1845,Imp,"World as reported",1764449.38638138,4,"Table Bay,Cape Town,Port Simon,Port Elizabeth"
