source,reporting,partner,flow,unit,currency,year,export_import,special_general,species_bullions,transport_type,statistical_period,partner_sum,world_trade_type,notes
SC-TUN_1938_212-213_1937,Tunisie,France,793398,1000,Franc,1937,Imp,,,,,,,
SC-TUN_1938_212-213_1937,Tunisie,Algérie,66286,1000,Franc,1937,Imp,,,,,,,
SC-TUN_1938_212-213_1937,Tunisie,Allemagne,21688,1000,Franc,1937,Imp,,,,,,,
SC-TUN_1938_212-213_1937,Tunisie,Angleterre,45586,1000,Franc,1937,Imp,,,,,,,
SC-TUN_1938_212-213_1937,Tunisie,République Argentine,3761,1000,Franc,1937,Imp,,,,,,,
SC-TUN_1938_212-213_1937,Tunisie,Autriche,1372,1000,Franc,1937,Imp,,,,,,,
SC-TUN_1938_212-213_1937,Tunisie,Union Economique Belgo-Luxembourgeoise,17407,1000,Franc,1937,Imp,,,,,,,
SC-TUN_1938_212-213_1937,Tunisie,Brésil,8456,1000,Franc,1937,Imp,,,,,,,
SC-TUN_1938_212-213_1937,Tunisie,Bulgarie,2494,1000,Franc,1937,Imp,,,,,,,
SC-TUN_1938_212-213_1937,Tunisie,Chine,7673,1000,Franc,1937,Imp,,,,,,,
SC-TUN_1938_212-213_1937,Tunisie,Colonies anglaises,36392,1000,Franc,1937,Imp,,,,,,,
SC-TUN_1938_212-213_1937,Tunisie,Colonies françaises (sauf Algérie),28411,1000,Franc,1937,Imp,,,,,,,
SC-TUN_1938_212-213_1937,Tunisie,Colonies hollandaises,10078,1000,Franc,1937,Imp,,,,,,,
SC-TUN_1938_212-213_1937,Tunisie,Danemark,7335,1000,Franc,1937,Imp,,,,,,,
SC-TUN_1938_212-213_1937,Tunisie,Egypte,12043,1000,Franc,1937,Imp,,,,,,,
SC-TUN_1938_212-213_1937,Tunisie,Espagne,3814,1000,Franc,1937,Imp,,,,,,,
SC-TUN_1938_212-213_1937,Tunisie,Etats-Unis d'Amérique,53399,1000,Franc,1937,Imp,,,,,,,
SC-TUN_1938_212-213_1937,Tunisie,Grèce,831,1000,Franc,1937,Imp,,,,,,,
SC-TUN_1938_212-213_1937,Tunisie,Hollande,22879,1000,Franc,1937,Imp,,,,,,,
SC-TUN_1938_212-213_1937,Tunisie,Hongrie,4240,1000,Franc,1937,Imp,,,,,,,
SC-TUN_1938_212-213_1937,Tunisie,Irak,1454,1000,Franc,1937,Imp,,,,,,,
SC-TUN_1938_212-213_1937,Tunisie,Italie,40820,1000,Franc,1937,Imp,,,,,,,
