source,reporting,partner,flow,unit,currency,year,export_import,special_general,species_bullions,transport_type,statistical_period,partner_sum,world_trade_type,notes,,
T-CAN_1938_44-45_1934,Canada,Other British West Indies,1353324,1,dollar,1934,Exp,Spe,NS,,Year ended March 31,,,,,
T-CAN_1938_44-45_1934,Canada,Falkland Islands,,1,dollar,1934,Exp,Spe,NS,,Year ended March 31,,,,,
T-CAN_1938_44-45_1934,Canada,Gibraltar,9935,1,dollar,1934,Exp,Spe,NS,,Year ended March 31,,,,,
T-CAN_1938_44-45_1934,Canada,Hong-Kong,1253866,1,dollar,1934,Exp,Spe,NS,,Year ended March 31,,,,,
T-CAN_1938_44-45_1934,Canada,Malta,188871,1,dollar,1934,Exp,Spe,NS,,Year ended March 31,,,,,
T-CAN_1938_44-45_1934,Canada,Newfoundland,6130098,1,dollar,1934,Exp,Spe,NS,,Year ended March 31,,,,,
T-CAN_1938_44-45_1934,Canada,Australia,12138869,1,dollar,1934,Exp,Spe,NS,,Year ended March 31,,,,,
T-CAN_1938_44-45_1934,Canada,Fiji,176741,1,dollar,1934,Exp,Spe,NS,,Year ended March 31,,,,,
T-CAN_1938_44-45_1934,Canada,New Zealand,4480219,1,dollar,1934,Exp,Spe,NS,,Year ended March 31,,,,,
T-CAN_1938_44-45_1934,Canada,Other British Oceania,9846,1,dollar,1934,Exp,Spe,NS,,Year ended March 31,,,,,
T-CAN_1938_44-45_1934,Canada,Palestine,99621,1,dollar,1934,Exp,Spe,NS,,Year ended March 31,,,,,
T-CAN_1938_44-45_1934,Canada,Other British Countries,,1,dollar,1934,Exp,Spe,NS,,Year ended March 31,,,,,
T-CAN_1938_44-45_1934,Canada,Abyssinia,10854,1,dollar,1934,Exp,Spe,NS,,Year ended March 31,,,,,
T-CAN_1938_44-45_1934,Canada,Afghanistan,,1,dollar,1934,Exp,Spe,NS,,Year ended March 31,,,,,
T-CAN_1938_44-45_1934,Canada,Albania,91,1,dollar,1934,Exp,Spe,NS,,Year ended March 31,,,,,
T-CAN_1938_44-45_1934,Canada,Argentina,2793801,1,dollar,1934,Exp,Spe,NS,,Year ended March 31,,,,,
T-CAN_1938_44-45_1934,Canada,Austria,31268,1,dollar,1934,Exp,Spe,NS,,Year ended March 31,,,,,
T-CAN_1938_44-45_1934,Canada,Belgium,12538143,1,dollar,1934,Exp,Spe,NS,,Year ended March 31,,,,,
T-CAN_1938_44-45_1934,Canada,Belgian Congo,37979,1,dollar,1934,Exp,Spe,NS,,Year ended March 31,,,,,
T-CAN_1938_44-45_1934,Canada,Bolivia,245225,1,dollar,1934,Exp,Spe,NS,,Year ended March 31,,,,,
T-CAN_1938_44-45_1934,Canada,Brazil,1758380,1,dollar,1934,Exp,Spe,NS,,Year ended March 31,,,,,
T-CAN_1938_44-45_1934,Canada,Bulgaria,44,1,dollar,1934,Exp,Spe,NS,,Year ended March 31,,,,,
T-CAN_1938_44-45_1934,Canada,Chile,276533,1,dollar,1934,Exp,Spe,NS,,Year ended March 31,,,,,
T-CAN_1938_44-45_1934,Canada,China,5395970,1,dollar,1934,Exp,Spe,NS,,Year ended March 31,,,,,
T-CAN_1938_44-45_1934,Canada,Colombia,421184,1,dollar,1934,Exp,Spe,NS,,Year ended March 31,,,,,
T-CAN_1938_44-45_1934,Canada,Costa Rica,71219,1,dollar,1934,Exp,Spe,NS,,Year ended March 31,,,,,
T-CAN_1938_44-45_1934,Canada,Cuba,993019,1,dollar,1934,Exp,Spe,NS,,Year ended March 31,,,,,
T-CAN_1938_44-45_1934,Canada,Czechoslovakia,71910,1,dollar,1934,Exp,Spe,NS,,Year ended March 31,,,,,
T-CAN_1938_44-45_1934,Canada,Denmark,2160467,1,dollar,1934,Exp,Spe,NS,,Year ended March 31,,,,,
T-CAN_1938_44-45_1934,Canada,Greenland,,1,dollar,1934,Exp,Spe,NS,,Year ended March 31,,,,,
T-CAN_1938_44-45_1934,Canada,Ecuador,60300,1,dollar,1934,Exp,Spe,NS,,Year ended March 31,,,,,
T-CAN_1938_44-45_1934,Canada,Egypt,179578,1,dollar,1934,Exp,Spe,NS,,Year ended March 31,,,,,
T-CAN_1938_44-45_1934,Canada,Estonia,3246,1,dollar,1934,Exp,Spe,NS,,Year ended March 31,,,,,
T-CAN_1938_44-45_1934,Canada,Finland,328539,1,dollar,1934,Exp,Spe,NS,,Year ended March 31,,,,,
T-CAN_1938_44-45_1934,Canada,France,11907478,1,dollar,1934,Exp,Spe,NS,,Year ended March 31,,,,,
T-CAN_1938_44-45_1934,Canada,French Africa,61223,1,dollar,1934,Exp,Spe,NS,,Year ended March 31,,,,,
T-CAN_1938_44-45_1934,Canada,French East Indies,4255,1,dollar,1934,Exp,Spe,NS,,Year ended March 31,,,,,
T-CAN_1938_44-45_1934,Canada,French Guiana,60620,1,dollar,1934,Exp,Spe,NS,,Year ended March 31,,,,,
T-CAN_1938_44-45_1934,Canada,French Oceania,81940,1,dollar,1934,Exp,Spe,NS,,Year ended March 31,,,,,
T-CAN_1938_44-45_1934,Canada,French West Indies,82151,1,dollar,1934,Exp,Spe,NS,,Year ended March 31,,,,,
T-CAN_1938_44-45_1934,Canada,Madagascar,2926,1,dollar,1934,Exp,Spe,NS,,Year ended March 31,,,,,
T-CAN_1938_44-45_1934,Canada,Saint-Pierre et Miquelon,4346925,1,dollar,1934,Exp,Spe,NS,,Year ended March 31,,,,,
T-CAN_1938_44-45_1934,Canada,Germany,10588450,1,dollar,1934,Exp,Spe,NS,,Year ended March 31,,,,,
T-CAN_1938_44-45_1934,Canada,Greece,138313,1,dollar,1934,Exp,Spe,NS,,Year ended March 31,,,,,
T-CAN_1938_44-45_1934,Canada,Guatemala,122975,1,dollar,1934,Exp,Spe,NS,,Year ended March 31,,,,,
T-CAN_1938_44-45_1934,Canada,Hayti,151528,1,dollar,1934,Exp,Spe,NS,,Year ended March 31,,,,,
T-CAN_1938_44-45_1934,Canada,Honduras,115228,1,dollar,1934,Exp,Spe,NS,,Year ended March 31,,,,,
T-CAN_1938_44-45_1934,Canada,Hungary,783,1,dollar,1934,Exp,Spe,NS,,Year ended March 31,,,,,
T-CAN_1938_44-45_1934,Canada,Iceland,13840,1,dollar,1934,Exp,Spe,NS,,Year ended March 31,,,,,
T-CAN_1938_44-45_1934,Canada,Iraq (Mesopotamia),30578,1,dollar,1934,Exp,Spe,NS,,Year ended March 31,,,,,
T-CAN_1938_44-45_1934,Canada,Italy,3543315,1,dollar,1934,Exp,Spe,NS,,Year ended March 31,,,,,
T-CAN_1938_44-45_1934,Canada,Tripoli,1916,1,dollar,1934,Exp,Spe,NS,,Year ended March 31,,,,,
T-CAN_1938_44-45_1934,Canada,Other Italian Africa,8093,1,dollar,1934,Exp,Spe,NS,,Year ended March 31,,,,,
T-CAN_1938_44-45_1934,Canada,Japan,13802760,1,dollar,1934,Exp,Spe,NS,,Year ended March 31,,,,,
T-CAN_1938_44-45_1934,Canada,Korea,112407,1,dollar,1934,Exp,Spe,NS,,Year ended March 31,,,,,
T-CAN_1938_44-45_1934,Canada,Latvia,9249,1,dollar,1934,Exp,Spe,NS,,Year ended March 31,,,,,
T-CAN_1938_44-45_1934,Canada,Liberia,7725,1,dollar,1934,Exp,Spe,NS,,Year ended March 31,,,,,
T-CAN_1938_44-45_1934,Canada,Lithuania,1390,1,dollar,1934,Exp,Spe,NS,,Year ended March 31,,,,,
T-CAN_1938_44-45_1934,Canada,Mexico,1680766,1,dollar,1934,Exp,Spe,NS,,Year ended March 31,,,,,
T-CAN_1938_44-45_1934,Canada,Morocco,58252,1,dollar,1934,Exp,Spe,NS,,Year ended March 31,,,,,
T-CAN_1938_44-45_1934,Canada,Netherlands,19655271,1,dollar,1934,Exp,Spe,NS,,Year ended March 31,,,,,
T-CAN_1938_44-45_1934,Canada,Netherlands East Indies,412180,1,dollar,1934,Exp,Spe,NS,,Year ended March 31,,,,,
T-CAN_1938_44-45_1934,Canada,Netherlands Guiana,45224,1,dollar,1934,Exp,Spe,NS,,Year ended March 31,,,,,
T-CAN_1938_44-45_1934,Canada,Netherlands West Indies,76487,1,dollar,1934,Exp,Spe,NS,,Year ended March 31,,,,,
T-CAN_1938_44-45_1934,Canada,Nicaragua,20003,1,dollar,1934,Exp,Spe,NS,,Year ended March 31,,,,,
T-CAN_1938_44-45_1934,Canada,Norway,3912408,1,dollar,1934,Exp,Spe,NS,,Year ended March 31,,,,,
T-CAN_1938_44-45_1934,Canada,Panama,233430,1,dollar,1934,Exp,Spe,NS,,Year ended March 31,,,,,
T-CAN_1938_44-45_1934,Canada,Paraguay,157,1,dollar,1934,Exp,Spe,NS,,Year ended March 31,,,,,
T-CAN_1938_44-45_1934,Canada,Persia,14225,1,dollar,1934,Exp,Spe,NS,,Year ended March 31,,,,,
T-CAN_1938_44-45_1934,Canada,Peru,926453,1,dollar,1934,Exp,Spe,NS,,Year ended March 31,,,,,
T-CAN_1938_44-45_1934,Canada,Poland and Dantzig,71343,1,dollar,1934,Exp,Spe,NS,,Year ended March 31,,,,,
T-CAN_1938_44-45_1934,Canada,Portugal,86616,1,dollar,1934,Exp,Spe,NS,,Year ended March 31,,,,,
T-CAN_1938_44-45_1934,Canada,Azores and Madeira,27853,1,dollar,1934,Exp,Spe,NS,,Year ended March 31,,,,,
T-CAN_1938_44-45_1934,Canada,Portuguese Africa,952519,1,dollar,1934,Exp,Spe,NS,,Year ended March 31,,,,,
T-CAN_1938_44-45_1934,Canada,Portuguese Asia,1068,1,dollar,1934,Exp,Spe,NS,,Year ended March 31,,,,,
T-CAN_1938_44-45_1934,Canada,Roumania,14209,1,dollar,1934,Exp,Spe,NS,,Year ended March 31,,,,,
