source,reporting,partner,flow,unit,currency,year,export_import,special_general,species_bullions,transport_type,statistical_period,partner_sum,world_trade_type,notes,
T-AUST_1938-39_1929-30_570-575,Australia,Australia,139028,1,pound sterling,1929-30,Imp,,,,,,,The figures represent the value of Australian produce re-imported.,
T-AUST_1938-39_1929-30_570-575,Australia,United Kingdom,54254702,1,pound sterling,1929-30,Imp,,,,,,,,
T-AUST_1938-39_1929-30_570-575,Australia,Aden,349,1,pound sterling,1929-30,Imp,,,,,,,,
T-AUST_1938-39_1929-30_570-575,Australia,British East Africa,53275,1,pound sterling,1929-30,Imp,,,,,,,,
T-AUST_1938-39_1929-30_570-575,Australia,British West Africa,94541,1,pound sterling,1929-30,Imp,,,,,,,,
T-AUST_1938-39_1929-30_570-575,Australia,Antarctica,,1,pound sterling,1929-30,Imp,,,,,,,,
T-AUST_1938-39_1929-30_570-575,Australia,Bahrein Island,,1,pound sterling,1929-30,Imp,,,,,,,,
T-AUST_1938-39_1929-30_570-575,Australia,Bermuda,,1,pound sterling,1929-30,Imp,,,,,,,,
T-AUST_1938-39_1929-30_570-575,Australia,British Borneo,112995,1,pound sterling,1929-30,Imp,,,,,,,,
T-AUST_1938-39_1929-30_570-575,Australia,Burma,,1,pound sterling,1929-30,Imp,,,,,,,Included with India,
T-AUST_1938-39_1929-30_570-575,Australia,Canada,3502421,1,pound sterling,1929-30,Imp,,,,,,,,
T-AUST_1938-39_1929-30_570-575,Australia,Ceylon,2125141,1,pound sterling,1929-30,Imp,,,,,,,,
T-AUST_1938-39_1929-30_570-575,Australia,Channel Islands,,1,pound sterling,1929-30,Imp,,,,,,,,
T-AUST_1938-39_1929-30_570-575,Australia,Cocos Island,,1,pound sterling,1929-30,Imp,,,,,,,,
T-AUST_1938-39_1929-30_570-575,Australia,Cyprus,1003,1,pound sterling,1929-30,Imp,,,,,,,,
T-AUST_1938-39_1929-30_570-575,Australia,Falkland Islands,,1,pound sterling,1929-30,Imp,,,,,,,,
T-AUST_1938-39_1929-30_570-575,Australia,Gibraltar,102,1,pound sterling,1929-30,Imp,,,,,,,,
T-AUST_1938-39_1929-30_570-575,Australia,British Guiana,14235,1,pound sterling,1929-30,Imp,,,,,,,,
T-AUST_1938-39_1929-30_570-575,Australia,British Honduras,10,1,pound sterling,1929-30,Imp,,,,,,,,
T-AUST_1938-39_1929-30_570-575,Australia,Hong Kong,17420,1,pound sterling,1929-30,Imp,,,,,,,,
