source,reporting,partner,flow,unit,currency,year,export_import,special_general,species_bullions,transport_type,statistical_period,partner_sum,world_trade_type,notes,,,,,,,,,,
AST-UK_1938_I_260-265_1934,United Kingdom,Eire,17199774,1,£,1934,imp,gen,,,,,,,,,,,,,,,,
AST-UK_1938_I_260-265_1934,United Kingdom,Channel Islands,4368815,1,£,1934,imp,gen,,,,,,,,,,,,,,,,
AST-UK_1938_I_260-265_1934,United Kingdom,Gibraltar,13438,1,£,1934,imp,gen,,,,,,,,,,,,,,,,
AST-UK_1938_I_260-265_1934,United Kingdom,Malta and Gozo,36010,1,£,1934,imp,gen,,,,,,,,,,,,,,,,
AST-UK_1938_I_260-265_1934,United Kingdom,Cyprus,362172,1,£,1934,imp,gen,,,,,,,,,,,,,,,,
AST-UK_1938_I_260-265_1934,United Kingdom,Palestine (including Trans-Jordan),1861271,1,£,1934,imp,gen,,,,,,,,,,,,,,,,
AST-UK_1938_I_260-265_1934,United Kingdom,Gambia,56940,1,£,1934,imp,gen,,,,,,,,,,,,,,,,
AST-UK_1938_I_260-265_1934,United Kingdom,Sierra Leone,345438,1,£,1934,imp,gen,,,,,,,,,,,,,,,,
AST-UK_1938_I_260-265_1934,United Kingdom,Gold Coast (including Togoland),1334768,1,£,1934,imp,gen,,,,,,,,,,,,,,,,
AST-UK_1938_I_260-265_1934,United Kingdom,Nigeria (including Cameroons),4353627,1,£,1934,imp,gen,,,,,,,,,,,,,,,,
AST-UK_1938_I_260-265_1934,United Kingdom,Ascension,334,1,£,1934,imp,gen,,,,,,,,,,,,,,,,
AST-UK_1938_I_260-265_1934,United Kingdom,St. Helena,6208,1,£,1934,imp,gen,,,,,,,,,,,,,,,,
AST-UK_1938_I_260-265_1934,United Kingdom,Union of South Africa,11890721,1,£,1934,imp,gen,,,,,,,,,,,,,,,,
AST-UK_1938_I_260-265_1934,United Kingdom,South-West Africa Territory,120882,1,£,1934,imp,gen,,,,,,,,,,,,,,,,
AST-UK_1938_I_260-265_1934,United Kingdom,Northern Rhodesia,1747442,1,£,1934,imp,gen,,,,,,,,,,,,,,,,
AST-UK_1938_I_260-265_1934,United Kingdom,Southern Rhodesia,1465375,1,£,1934,imp,gen,,,,,,,,,,,,,,,,
AST-UK_1938_I_260-265_1934,United Kingdom,Bechuanaland Protectorate,218,1,£,1934,imp,gen,,,,,,,,,,,,,,,,
AST-UK_1938_I_260-265_1934,United Kingdom,Basutoland,,1,£,1934,imp,gen,,,,,,,,,,,,,,,,
AST-UK_1938_I_260-265_1934,United Kingdom,Swaziland,,1,£,1934,imp,gen,,,,,,,,,,,,,,,,
AST-UK_1938_I_260-265_1934,United Kingdom,Tanganyika Territory,636290,1,£,1934,imp,gen,,,,,,,,,,,,,,,,
AST-UK_1938_I_260-265_1934,United Kingdom,Zanzibar and Pemba,60242,1,£,1934,imp,gen,,,,,,,,,,,,,,,,
AST-UK_1938_I_260-265_1934,United Kingdom,Kenya,1160691,1,£,1934,imp,gen,,,,,,,,,,,,,,,,
AST-UK_1938_I_260-265_1934,United Kingdom,Uganda Protectorate,318666,1,£,1934,imp,gen,,,,,,,,,,,,,,,,
AST-UK_1938_I_260-265_1934,United Kingdom,Nyasaland Protectorate,847577,1,£,1934,imp,gen,,,,,,,,,,,,,,,,
AST-UK_1938_I_260-265_1934,United Kingdom,Somaliland Protectorate,23815,1,£,1934,imp,gen,,,,,,,,,,,,,,,,
AST-UK_1938_I_260-265_1934,United Kingdom,Mauritius and Dependencies,2209518,1,£,1934,imp,gen,,,,,,,,,,,,,,,,
AST-UK_1938_I_260-265_1934,United Kingdom,Seychelles,42562,1,£,1934,imp,gen,,,,,,,,,,,,,,,,
AST-UK_1938_I_260-265_1934,United Kingdom,Aden and Dependencies,23475,1,£,1934,imp,gen,,,,,,,,,,,,,,,,
AST-UK_1938_I_260-265_1934,United Kingdom,Islands in the Indian Seas (British),,1,£,1934,imp,gen,,,,,,,,,,,,,,,,
AST-UK_1938_I_260-265_1934,United Kingdom,British India and Burma,42102298,1,£,1934,imp,gen,,,,,,,,,,,,,,,,
AST-UK_1938_I_260-265_1934,United Kingdom,Burma,,1,£,1934,imp,gen,,,,,,,,,,,,,,,,
AST-UK_1938_I_260-265_1934,United Kingdom,Straits Settlements and Dependencies (including Labuan),9099884,1,£,1934,imp,gen,,,,,,,,,,,,,,,,
AST-UK_1938_I_260-265_1934,United Kingdom,Federated Malay States,2923884,1,£,1934,imp,gen,,,,,,,,,,,,,,,,
AST-UK_1938_I_260-265_1934,United Kingdom,Unfederated Malay States,356093,1,£,1934,imp,gen,,,,,,,,,,,,,,,,
AST-UK_1938_I_260-265_1934,United Kingdom,Ceylon and dependencies,11323635,1,£,1934,imp,gen,,,,,,,,,,,,,,,,
AST-UK_1938_I_260-265_1934,United Kingdom,State of North Borneo,207755,1,£,1934,imp,gen,,,,,,,,,,,,,,,,
AST-UK_1938_I_260-265_1934,United Kingdom,Brunei,78,1,£,1934,imp,gen,,,,,,,,,,,,,,,,
AST-UK_1938_I_260-265_1934,United Kingdom,Sarawak,285787,1,£,1934,imp,gen,,,,,,,,,,,,,,,,
