source,reporting,partner,flow,unit,currency,year,export_import,special_general,species_bullions,transport_type,statistical_period,partner_sum,world_trade_type,notes,,,,,,,,,,
CN-US_1918_XII-XIII_1914,United States of America,Austria-Hungary,15683880,1,Dollars,1914,Imp,gen,,,,,,,,,,,,,,,,
CN-US_1918_XII-XIII_1914,United States of America,Azores and Madeira,587748,1,Dollars,1914,Imp,gen,,,,,,,,,,,,,,,,
CN-US_1918_XII-XIII_1914,United States of America,Belgium,30362019,1,Dollars,1914,Imp,gen,,,,,,,,,,,,,,,,
CN-US_1918_XII-XIII_1914,United States of America,Bulgaria,104869,1,Dollars,1914,Imp,gen,,,,,,,,,,,,,,,,
CN-US_1918_XII-XIII_1914,United States of America,Denmark,3844827,1,Dollars,1914,Imp,gen,,,,,,,,,,,,,,,,
CN-US_1918_XII-XIII_1914,United States of America,Finland,104852,1,Dollars,1914,Imp,gen,,,,,,,,,,,,,,,,
CN-US_1918_XII-XIII_1914,United States of America,France,104215131,1,Dollars,1914,Imp,gen,,,,,,,,,,,,,,,,
CN-US_1918_XII-XIII_1914,United States of America,Germany,149389366,1,Dollars,1914,Imp,gen,,,,,,,,,,,,,,,,
CN-US_1918_XII-XIII_1914,United States of America,Gibraltar,9893,1,Dollars,1914,Imp,gen,,,,,,,,,,,,,,,,
CN-US_1918_XII-XIII_1914,United States of America,Greece,4054919,1,Dollars,1914,Imp,gen,,,,,,,,,,,,,,,,
CN-US_1918_XII-XIII_1914,United States of America,Iceland and Faroe Is.,83381,1,Dollars,1914,Imp,gen,,,,,,,,,,,,,,,,
CN-US_1918_XII-XIII_1914,United States of America,Italy,55207274,1,Dollars,1914,Imp,gen,,,,,,,,,,,,,,,,
CN-US_1918_XII-XIII_1914,United States of America,"Malta, Gozo, etc.",15828,1,Dollars,1914,Imp,gen,,,,,,,,,,,,,,,,
CN-US_1918_XII-XIII_1914,United States of America,Netherlands,37499623,1,Dollars,1914,Imp,gen,,,,,,,,,,,,,,,,
CN-US_1918_XII-XIII_1914,United States of America,Norway,11976758,1,Dollars,1914,Imp,gen,,,,,,,,,,,,,,,,
CN-US_1918_XII-XIII_1914,United States of America,Portugal,5900970,1,Dollars,1914,Imp,gen,,,,,,,,,,,,,,,,
CN-US_1918_XII-XIII_1914,United States of America,Romania,475613,1,Dollars,1914,Imp,gen,,,,,,,,,,,,,,,,
CN-US_1918_XII-XIII_1914,United States of America,Russia in Europe,12306334,1,Dollars,1914,Imp,gen,,,,,,,,,,,,,,,,
CN-US_1918_XII-XIII_1914,United States of America,"Serbia, Montenegro and Albania",1084939,1,Dollars,1914,Imp,gen,,,,,,,,,,,,,,,,
CN-US_1918_XII-XIII_1914,United States of America,Spain,22041006,1,Dollars,1914,Imp,gen,,,,,,,,,,,,,,,,
CN-US_1918_XII-XIII_1914,United States of America,Sweden,11715316,1,Dollars,1914,Imp,gen,,,,,,,,,,,,,,,,
CN-US_1918_XII-XIII_1914,United States of America,Switzerland,21513025,1,Dollars,1914,Imp,gen,,,,,,,,,,,,,,,,
CN-US_1918_XII-XIII_1914,United States of America,Turkey in Europe,7948495,1,Dollars,1914,Imp,gen,,,,,,,,,,,,,,,,
CN-US_1918_XII-XIII_1914,United States of America,United Kingdom,287391443,1,Dollars,1914,Imp,gen,,,,,,,,,,,,,,,,
CN-US_1918_XII-XIII_1914,United States of America,Bermuda,687985,1,Dollars,1914,Imp,gen,,,,,,,,,,,,,,,,
CN-US_1918_XII-XIII_1914,United States of America,British Honduras,1717684,1,Dollars,1914,Imp,gen,,,,,,,,,,,,,,,,
CN-US_1918_XII-XIII_1914,United States of America,Canada,164031910,1,Dollars,1914,Imp,gen,,,,,,,,,,,,,,,,
CN-US_1918_XII-XIII_1914,United States of America,Costa Rica,3353425,1,Dollars,1914,Imp,gen,,,,,,,,,,,,,,,,
CN-US_1918_XII-XIII_1914,United States of America,Guatemala,4594890,1,Dollars,1914,Imp,gen,,,,,,,,,,,,,,,,
CN-US_1918_XII-XIII_1914,United States of America,Honduras,2751497,1,Dollars,1914,Imp,gen,,,,,,,,,,,,,,,,
CN-US_1918_XII-XIII_1914,United States of America,Nicaragua,1449746,1,Dollars,1914,Imp,gen,,,,,,,,,,,,,,,,
CN-US_1918_XII-XIII_1914,United States of America,Panama,4473456,1,Dollars,1914,Imp,gen,,,,,,,,,,,,,,,,
CN-US_1918_XII-XIII_1914,United States of America,Salvador,1390056,1,Dollars,1914,Imp,gen,,,,,,,,,,,,,,,,
CN-US_1918_XII-XIII_1914,United States of America,Greenland,91340,1,Dollars,1914,Imp,gen,,,,,,,,,,,,,,,,
CN-US_1918_XII-XIII_1914,United States of America,Mexico,86280966,1,Dollars,1914,Imp,gen,,,,,,,,,,,,,,,,
CN-US_1918_XII-XIII_1914,United States of America,"Miquelon, Langley, etc",55,1,Dollars,1914,Imp,gen,,,,,,,,,,,,,,,,
CN-US_1918_XII-XIII_1914,United States of America,Newfoundland and Labrador,1521980,1,Dollars,1914,Imp,gen,,,,,,,,,,,,,,,,
CN-US_1918_XII-XIII_1914,United States of America,Barbados,442396,1,Dollars,1914,Imp,gen,,,,,,,,,,,,,,,,
CN-US_1918_XII-XIII_1914,United States of America,Jamaica,6962226,1,Dollars,1914,Imp,gen,,,,,,,,,,,,,,,,
CN-US_1918_XII-XIII_1914,United States of America,Trinidad and Tobago,5605993,1,Dollars,1914,Imp,gen,,,,,,,,,,,,,,,,
CN-US_1918_XII-XIII_1914,United States of America,Other British West Indies,1530103,1,Dollars,1914,Imp,gen,,,,,,,,,,,,,,,,
CN-US_1918_XII-XIII_1914,United States of America,Cuba,146844576,1,Dollars,1914,Imp,gen,,,,,,,,,,,,,,,,
CN-US_1918_XII-XIII_1914,United States of America,Virgin Islands of the United States,295203,1,Dollars,1914,Imp,gen,,,,,,,,,,,,,,,,
