year,Algeria,Angola (Portuguess Africa),Basutoland ,Bechuanaland Protectorate,Belgium Congo (Zaire),British Bechuanaland,British Cameroon,British East Africa (Kenia & Uganda),British Somaliland,Cabo Verde (Portuguese Africa),Camerun,Canary Island (Spanish Africa),Ceuta Y Melilla,Egypt,Eritrea,Ethiopia,French Equatorial Africa-Congo-Final,French Somalia,French West Africa & Togo,Gambia,German South West Africa,Ghana-Gold Coast,Guinea Bissau (Portuguese Africa),Italia Somalia,Italian Libia Cyrenaica,Liberia,Madagascar,Malawi,Marocco,Mauritius,Mozambique (Portuguese Africa),Nigeria,Reunion,Rodhesia,Rwanda and Burundi,St. Helena,S.Tome e Principe (Portuguess Africa),Seychelles,Sierra Leone,South Africa,Spanish Guinea,Sudan (Anglo-Egyptian Sudan),Swaziland,Tanganica (German East Africa),Togo (German West Africa),Tunisia,Zanzibar Isl.,Argentina,Bahamas,Barbados,Bermuda,Bolivia,Brasil,British Guiana,British Honduras (Belize),Canada,Chile,Colombia,Costa Rica,Cuba,Danish Virgin Island,Dominican Republic,Duch Antilles,Ecuador,El Salvador,Falkland Islands,French Guiana (French Colonies),Granada (Winward Island),Guadalupe (French Colonies),Guatemala,Haiti,Honduras,Jamaica,"Leward Island (L.I Antigua, L.I Dominica, L.I St.Christopher, Montserrat, Nevis, Virgin Island)",Martinique (French Colonies),Mexico,New Foundland,Nicaragua,Panama,Paraguay,Peru,Puerto Rico,St. Barthelemy (Norvegian Colonies),St. Vicente (Winward Island),St.Lucia (Winward Island),St.Pierre e Michelon,Surinam (Duch Guayana),Trinidad & Tobago (Winward Island),Turk Island,United states,Uruguay,Venezuela,Abu Dhabi,Aden,Afghanistan,Ajman  ,Bahrain,Bhutan,British Malaya,Brunei,Bukhara,Ceylon (Sri Lanka),China,Danish India,Dubai,Dutch East Indies (Indonesia),Formosa (Taiwan),French India,French Indochina,Fujairah  ,Hong-Kong,India,Iraq,Japan,Khiva,Kiautchou,Kokand,Korea,Kuwait,Kwang-Chou-Wan,Kwantung (Port Arthur),Macao,Maldive,Manchukuo,Mongolia,Nepal,North Yemen ,Oman,Ottoman Empire/Turkey,Palestine ,Persia (Iran),Philippines,Portuguese India,Quatar,Ras al Khaimah  ,Sabah (British Borneo),Sarawak,Saudi Arabia,Sharjah  ,Siam (Thailand),Sikkim,Syria and Lebanon,Albania,Andorra,Austria,Austria-Hungary,Belgium,Bulgaria,Crete,Cyprus,Czechoslowakia,Denmark,Dodecanese Is.,Estonia,Faroe Is,Finland,France,Germany/Zollverein,Gibraltar,Greece,Hungary,Iceland,Ionian islands,Ireland,Italy,Latvia,Lithuania,Luxembourg,Malta,Monaco,Montenegro,Netherlands,Norway,Poland,Portugal,Romania,Russia/USSR,Serbia/Yugoslavia,Spain,Sweden,Switzerland,United Kingdom,Australia,British settlement Oceania,Dutch new Guinea,French Polinesia,German colonies Oceania,Hawai,New Zeland,US settlement Oceania
1800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,60958596222383",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,03542294245696",0,0,0,0,0,0,0,0,0,0,0,0,0,"11,381653070648",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,6594249827007",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"11,0805814704227",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,34964865819209",0,0,"8,5206",0,0,0,0,"0,516278145585854",0,"47,6",0,0,0,0,0,0,0,0
1801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,18153025730927",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,795955169029195",0,0,0,0,0,0,0,0,0,0,0,0,0,"14,4051359309731",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,48781130646421",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"14,6036773115158",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,64216958492578",0,0,"8,7958",0,0,0,0,"0,522526196006028",0,"55,8",0,0,0,0,0,0,0,0
1802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,3560817529615",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,90523546200499",0,0,0,0,0,0,0,0,0,0,0,0,0,"10,4205806278987",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,76971292660687",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"16,1879895561358",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8,10687579792085",0,0,"8,1925",0,0,0,0,"0,468988485677885",0,"41,8",0,0,0,0,0,0,0,0
1803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,71313731967845",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,37550930514261",0,0,0,0,0,0,0,0,0,0,0,0,0,"11,8525757075212",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,91412759885941",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"14,4628967836872",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8,5404597271538",0,0,"7,4676",0,0,0,0,"0,457723803566719",0,"44,8",0,0,0,0,0,0,0,0
1804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,18912030934177",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,63081114333421",0,0,0,0,0,0,0,0,0,0,0,0,0,"12,8530802355216",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,41115200797326",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"14,3432125869008",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8,18361480416816",0,0,"7,638",0,0,0,0,"0,763705400174937",0,"46,3",0,0,0,0,0,0,0,0
1805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,66244968372628",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,900287521564117",0,0,0,0,0,0,0,0,0,0,0,0,0,"17,582937320299",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,36843630742491",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"15,7226172405529",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,69648186669078",0,0,"8,8655",0,0,0,0,"0,675918154815239",0,51,0,0,0,0,0,0,0,0
1806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,41675690308609",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,61026890452987",0,0,0,0,0,0,0,0,0,0,0,0,0,"18,3997157552788",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,29914776194418",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"16,0579027099815",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,99514880119414",0,0,"7,8709",0,0,0,0,"0,638734977729106",0,"44,1",0,0,0,0,0,0,0,0
1807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,76842771274913",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,7820310028472",0,0,0,0,0,0,0,0,0,0,0,0,0,"17,9652280019885",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,23128206068463",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"13,1397265469712",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8,34805243097518",0,0,"7,6096",0,0,0,0,"0,51740730481023",0,"45,5",0,0,0,0,0,0,0,0
1808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,97064355044424",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,25102142285825",0,0,0,0,0,0,0,0,0,0,0,0,0,"10,4480555135217",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,16481369448694",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10,1227581634063",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,07523518653473",0,0,"0,7761",0,0,0,0,"0,508816486577289",0,45,0,0,0,0,0,0,0,0
1809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,77859157393034",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,46686635037933",0,0,0,0,0,0,0,0,0,0,0,0,0,"11,0687159754258",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,09971148548968",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8,84005559307165",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,95847010408444",0,0,"3,8122",0,0,0,0,"0,753064368374484",0,"59,4",0,0,0,0,0,0,0,0
