year,rate_to_dollar
1800,4.5479
1801,4.3809
1802,4.4848
1803,4.5405
1804,4.5516
1805,4.3475
1806,4.4328
1807,4.4254
1808,4.6259
1809,4.5739
1810,4.2992
1811,3.8165
1812,3.6161
1813,3.7497
1814,4.2398
1815,4.9043
1816,5.2236
1817,4.6018
1818,4.4997
1819,4.5127
1820,4.5219
1821,4.8208
1822,4.9777
1823,4.7995
1824,4.8673
1825,4.8295
1826,4.9204
1827,4.9358
1828,4.9284
1829,4.862
1830,4.7616
1831,4.8601
1832,4.8577
1833,4.7872
1834,4.6382
1835,4.8498
1836,4.8173
1837,5.0985
1838,4.8863
1839,4.9845
1840,5.0003
1841,4.9893
1842,4.7972
1843,4.7878
1844,4.8595
1845,4.8713
1846,4.8159
1847,4.7934
1848,4.8685
1849,4.8139
1850,4.8702
1851,4.9127
1852,4.9018
1853,4.8877
1854,4.8826
1855,4.8862
1856,4.9089
1857,4.8886
1858,4.8575
1859,4.8892
1860,4.8493
1861,4.8493
1862,4.8493
1863,4.8493
1864,4.8493
1865,4.8493
1866,4.8493
1867,4.8493
1868,4.8493
1869,4.8493
1870,4.8493
1871,4.8493
1872,4.8493
1873,4.8493
1874,4.8493
1875,4.8493
1876,4.8493
1877,4.8493
1878,4.8493
1879,4.8535
1880,4.8445
1881,4.8295
1882,4.8698
1883,4.849
1884,4.8538
1885,4.856
1886,4.8614
1887,4.8518
1888,4.8703
1889,4.8687
1890,4.8605
1891,4.8611
1892,4.8731
1893,4.8639
1894,4.8769
1895,4.8883
1896,4.8712
1897,4.8633
1898,4.8477
1899,4.8638
1900,4.8652
1901,4.8727
1902,4.8719
1903,4.8631
1904,4.8676
1905,4.8652
1906,4.8508
1907,4.8579
1908,4.8656
1909,4.8729
1910,4.863
1911,4.8623
1912,4.8658
1913,4.8637
1914,4.8696
1915,4.76
1916,4.77
1917,4.76
1918,4.76
1919,4.43
1920,3.66
1921,3.85
1922,4.43
1923,4.58
1924,4.42
1925,4.83
1926,4.86
1927,4.86
1928,4.87
1929,4.86
1930,4.86
1931,4.54
1932,3.51
1933,4.24
1934,5.04
1935,4.9
1936,4.97
1937,4.94
1938,4.89
