original_name,transport_type,partner_sum
Allemagne et Pologne - par terre,Terre,
Espagne - par mer,Mer,
Espagne - par terre,Terre,
"Etats de l'Empereur, en Flandre et Allemagne - par mer",Mer,
"Etats de l'Empereur, en Flandre et Allemagne - par terre",Terre,
Etats du Roi de Sardaigne - par mer,Mer,
Etats du Roi de Sardaigne - par terre,Terre,
Prusse - par mer,Mer,
Total exempt de droits de douane,,1
Total soumis aux droits de douane,,1
