put x to remove,new_slug_nb,nb_flows,new_slug,slug,author,name,author_editor,country,volume_number,volume_date,edition_date,pages,shelf_number,source_category,URL,type,notes,flow_date
,1,236,TenajunguitoA_NewSeriesOfTheSpanishForeignSector18502000,"A. Tena Junguito (2007), from L. Prados de la Escosura (1986, 1988).",Tena-Junguito A.,New series of the Spanish foreign sector 1850-2000,,,,,2007,,,book,,estimation,,
,1,52,AbstractOfReportsOfTradeOfVariousCountries,Abstract of Reports of Trade of Various Countries Receivedby the Board of trade from H.M. Ministers and ConsulsHouse of Commons - Parliamentary Papers (1801-1900)Cote BNF: MICROFICHE M-150061862 [3054] LVIII.413.,,Abstract of Reports of Trade of Various Countries,Board of Trade,,,,,,BNF: MICROFICHE M-150061862 [3054] LVIII.413,statistical series,,secondary,,
,1,34,AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_Paysbas_18431868,Annales du commerce extérieur - Pays-Bas. Faits commerciaux 1843 à 1868.  (LC5-138 (DE),,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",Pays-Bas,,1843-1868,,,BNF: LC5-138 (DE),statistical series,,secondary,,
,2,27,AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_Egypte_Fc7,"Annales du Commerce Extérieur 3ème série des avis divers, N° 725. Faits commerciaux N° 7. Paris, août 1853. Cote BNF: LC5-138 (BG)1843/10-1865/01 (N 1-16)",,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",Egypte,FC7,,Aout 1853,,BNF: LC5-138 (BG) 1843/10-1865/01 (N 1-16),statistical series,,secondary,,
,1,2,AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_AmériqueCentrale_Fc10,Annales du commerce extérieur. Amérique centrale. Faits commerciaux n° 10. BNF : LC5-138 (AD),,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",Amérique centrale,FC10,,,,BNF: LC5-138 (AD),statistical series,,secondary,,
,1,18,AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_AmériqueCentrale_Fc13,Annales du commerce extérieur. Amérique centrale. Faits commerciaux n° 13. BNF : LC5-138 (AD),,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",Amérique centrale,FC13,,,,BNF: LC5-138 (AD),statistical series,,secondary,,
,1,13,AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_AmériqueCentrale_Fc14,Annales du commerce extérieur. Amérique centrale. Faits commerciaux n° 14. BNF : LC5-138 (AD),,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",Amérique centrale,FC14,,,,BNF: LC5-138 (AD),statistical series,,secondary,,
,1,26,AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_AmériqueCentrale_Fc4,Annales du commerce extérieur. Amérique centrale. Faits commerciaux n° 4. BNF : LC5-138 (AD),,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",Amérique centrale,FC4,,,,BNF: LC5-138 (AD),statistical series,,secondary,,
,1,2,AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_AmériqueCentrale_Fc7,Annales du commerce extérieur. Amérique centrale. Faits commerciaux n° 7. BNF : LC5-138 (AD),,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",Amérique centrale,FC7,,,,BNF: LC5-138 (AD),statistical series,,secondary,,
,1,10,AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_AmériqueCentrale_Fc8,Annales du commerce extérieur. Amérique centrale. Faits commerciaux n° 8. BNF : LC5-138 (AD),,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",Amérique centrale,FC8,,,,BNF: LC5-138 (AD),statistical series,,secondary,,
