slug,acronym,source_category,author,name,edition_date,country,pages,volume_number,volume_date,flow_date,notes,shelf_number
"A. Tena Junguito (2007), from L. Prados de la Escosura (1986, 1988).",FT-SP,book,Tena-Junguito A.,New series of the Spanish foreign sector 1850-2000,2007,,,,,,,
Abstract of Reports of Trade of Various Countries Receivedby the Board of trade from H.M. Ministers and ConsulsHouse of Commons - Parliamentary Papers (1801-1900)Cote BNF: MICROFICHE M-150061862 [3054] LVIII.413.,ART-UK,statistical series,Board of Trade,Abstract of Reports of Trade of Various Countries,,,,,,,,BNF: MICROFICHE M-150061862 [3054] LVIII.413
Annales du commerce extérieur - Pays-Bas. Faits commerciaux 1843 à 1868.  (LC5-138 (DE),ACE-3,statistical series,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Pays-Bas,,,1843-1868,,,BNF: LC5-138 (DE)
"Annales du Commerce Extérieur 3ème série des avis divers, N° 725. Faits commerciaux N° 7. Paris, août 1853. Cote BNF: LC5-138 (BG)1843/10-1865/01 (N 1-16)",ACE-3,statistical series,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,Aout 1853,Egypte,,FC7,,,,BNF: LC5-138 (BG) 1843/10-1865/01 (N 1-16)
Annales du commerce extérieur. Amérique centrale. Faits commerciaux n° 10. BNF : LC5-138 (AD),ACE-3,statistical series,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Amérique centrale,,FC10,,,,BNF: LC5-138 (AD)
Annales du commerce extérieur. Amérique centrale. Faits commerciaux n° 13. BNF : LC5-138 (AD),ACE-3,statistical series,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Amérique centrale,,FC13,,,,BNF: LC5-138 (AD)
Annales du commerce extérieur. Amérique centrale. Faits commerciaux n° 14. BNF : LC5-138 (AD),ACE-3,statistical series,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Amérique centrale,,FC14,,,,BNF: LC5-138 (AD)
Annales du commerce extérieur. Amérique centrale. Faits commerciaux n° 4. BNF : LC5-138 (AD),ACE-3,statistical series,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Amérique centrale,,FC4,,,,BNF: LC5-138 (AD)
Annales du commerce extérieur. Amérique centrale. Faits commerciaux n° 7. BNF : LC5-138 (AD),ACE-3,statistical series,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Amérique centrale,,FC7,,,,BNF: LC5-138 (AD)
Annales du commerce extérieur. Amérique centrale. Faits commerciaux n° 8. BNF : LC5-138 (AD),ACE-3,statistical series,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Amérique centrale,,FC8,,,,BNF: LC5-138 (AD)
Annales du commerce extérieur. Amérique centrale. Faits commerciaux n° 9. BNF : LC5-138 (AD),ACE-3,statistical series,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Amérique centrale,,FC9,,,,BNF: LC5-138 (AD)
"Annales du commerce extérieur. Association allemande, Faits commerciaux n° 17, BNF : LC5-138 (AH)",ACE-3,statistical series,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Association allemande,,FC17,,,,BNF: LC5-138 (AH)
Annales du commerce extérieur. Association allemande. Faits commerciaux n° 19   [BNF : LC5-138 (AH)],ACE-3,statistical series,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Association allemande,,FC19,,,,BNF: LC5-138 (AH)
Annales du commerce extérieur. Association allemande. Faits commerciaux n° 31. BNF : LC5-138 (AH).,ACE-3,statistical series,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Association allemande,,FC31,,,,BNF: LC5-138 (AH)
Annales du commerce extérieur. Association allemande. Faits commerciaux n° 32. BNF : LC5-138 (AH).,ACE-3,statistical series,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Association allemande,,FC32,,,,BNF: LC5-138 (AH)
Annales du commerce extérieur. Association allemande. Faits commerciaux n° 35. BNF : LC5-138 (AH),ACE-3,statistical series,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Association allemande,,FC35,,,,BNF: LC5-138 (AH)
Annales du commerce extérieur. Association allemande. Faits commerciaux. N° 12 [BNF : LC5-138 (AH)],ACE-3,statistical series,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Association allemande,,FC12,,,,BNF: LC5-138 (AH)
Annales du commerce extérieur. Australie et Océanie. Faits commerciaux n° 20.  (nov. 1866)  BNF : LC5-138 (DB),ACE-3,statistical series,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,Novembre 1866,Océanie et Australie,,FC20,,,,BNF: LC5-138 (DB)
"Annales du commerce extérieur. Autriche. Faits commerciaux, n°10. BNF : LC5-138 (Aj) .",ACE-3,statistical series,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Autriche,,FC10,,,,BNF: LC5-138 (AJ)
"Annales du commerce extérieur. Autriche. Faits commerciaux, n°13. BNF : LC5-138 (Aj) .",ACE-3,statistical series,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Autriche,,FC13,,,,BNF: LC5-138 (AJ)
"Annales du commerce extérieur. Autriche. Faits commerciaux, n°17. BNF : LC5-138 (Aj) .",ACE-3,statistical series,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Autriche,,FC17,,,,BNF: LC5-138 (AJ)
"Annales du commerce extérieur. Autriche. Faits commerciaux, n°18. BNF : LC5-138 (Aj) .",ACE-3,statistical series,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Autriche,,FC18,,,,BNF: LC5-138 (AJ)
"Annales du commerce extérieur. Autriche. Faits commerciaux, n°19. BNF : LC5-138 (Aj) .",ACE-3,statistical series,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Autriche,,FC19,,,,BNF: LC5-138 (AJ)
"Annales du commerce extérieur. Autriche. Faits commerciaux, n°3. BNF : LC5-138 (Aj) .",ACE-3,statistical series,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Autriche,,FC3,,,,BNF: LC5-138 (AJ)
"Annales du commerce extérieur. Autriche. Faits commerciaux, n°5. BNF : LC5-138 (Aj) .",ACE-3,statistical series,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Autriche,,FC5,,,,BNF: LC5-138 (AJ)
"Annales du commerce extérieur. Autriche. Faits commerciaux, n°6. BNF : LC5-138 (Aj) .",ACE-3,statistical series,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Autriche,,FC6,,,,BNF: LC5-138 (AJ)
"Annales du commerce extérieur. Autriche. Faits commerciaux, n°7. BNF : LC5-138 (Aj) .",ACE-3,statistical series,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Autriche,,FC7,,,,BNF: LC5-138 (AJ)
"Annales du commerce extérieur. Autriche. Faits commerciaux, n°8. BNF : LC5-138 (Aj) .",ACE-3,statistical series,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Autriche,,FC8,,,,BNF: LC5-138 (AJ)
"Annales du commerce extérieur. Chine. Faits commerciaux, n°1. BNF : LC5-138 (AT) .",ACE-3,statistical series,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Chine,,FC1,,,,BNF: LC5-138 (AT)
"Annales du commerce extérieur. Chine. Faits commerciaux, n°14. BNF : LC5-138 (AT) .",ACE-3,statistical series,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Chine,,FC14,,,,BNF: LC5-138 (AT)
"Annales du commerce extérieur. Chine. Faits commerciaux, n°33. BNF : LC5-138 (AT) .",ACE-3,statistical series,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Chine,,FC33,,,,BNF: LC5-138 (AT)
"Annales du commerce extérieur. Chine. Faits commerciaux, n°35. BNF : LC5-138 (AT) .",ACE-3,statistical series,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,,Chine,,FC35,,,,BNF: LC5-138 (AT)
