acronym,reference,type,author,URL,name
ACE-1,Annales Commerce ExtÃ©rieur-Serie 1,secondary,MinistÃ¨re de l'Agriculture et du Commerce,,
ACE-2,Annales Commerce ExtÃ©rieur-Serie 2,secondary,MinistÃ¨re de l'Agriculture et du Commerce,,
ACE-3,Annales Commerce ExtÃ©rieur-Serie 3,secondary,"MinistÃ¨re de l'Agriculture, du Commerce et des Travaux Publics",,
ACE-4,Annales Commerce ExtÃ©rieur-Serie 4,secondary,"MinistÃ¨re de l'Agriculture, du Commerce et des Travaux Publics",,
AH-GER,Deutschland Aussenhandel,estimation,Bondi G.,,
AH-ZV,Auswartiger Handel Zollverein,primary,Reichsamt des Innern,,
AHSP,"Re-examining the Foreign Trade Structure of the Colonial Philippines : With Special Reference to the ""Intra-Asian Trade"", ASIAN Historical Statistcs Project",secondary,,http://www.ier.hit-u.ac.jp/COE/Japanese/discussionpapers/DP97.28/table2.htm,
AN-FR,Annuaire Statistique France,secondary,Direction de la Statistique gÃ©nÃ©rale et de la documentation,,
AN-SDN,Annuaire Statistique SDN,secondary,SociÃ©tÃ© des Nations,,
ART-UK,Abstract Reports Trade,secondary,Board of Trade,,
AST-UK,Annual Statement Trade UK,primary,Statistical Office of the Customs and Excise Department,,Annual Statement of the Trade of the United Kingdom with Foreign Countries and British Countries 
BP-FIN,Bank Finland Papers,estimation,Autio A. J.,,
BSG-FR,Bulletin Statistique France,secondary,Depoid P. | Ulmer H.,,
CE-COL-FR,Commerce colonies France,secondary,MinistÃ¨re des Colonies,,
CE-EGY,Commerce extÃ©rieur Egypte,primary,,,
CE-RUS,Commerce extÃ©rieur Russie,primary,,,
CN-US,Commerce and navigation USA,primary,Department of commerce,,Foreign Commerce and Navigation of the United States
EC-CHL,Estadistica comercial Chile,primary,,,Estadística comercial de la República de Chili
EC-SP,Estadistica comercial Espana,primary,DirecciÃ³n general de aduanas,,
ER-ASI,Exchange Rate Asia,estimation,Van der Eng P.,,
FT-FIN,Foreign Trade Finland,primary,,,
FT-SP,Foreign Trade Spain,estimation,Tena-Junguito A.,,
FT-TUR,Foreign Trade Turkey,estimation,Pamuk S.,,
GDP-NL,Dutch GDP,estimation,"Smits J-P., Horlings E. & van Zanden J. L.",,
HER,Handbook Exchange Rate,estimation,Denzel M. A.,,
HMS-NOR,Historical Monetary Statistics Norway,estimation,"Eitrheim Ã˜., Klovland J. T. & J. F. Qvigstad, eds.",,
HMS-SWE,Historical Monetary Statistics Sweden,estimation,"Edvinsson R., Jacobson T. & D. WaldenstrÃ¶m",,
HS-PGL,Portuguese Historical Statistics,estimation,"ValÃ©rio N., ed.",,
HS-SP,Historical Statistics Spain,estimation,Carreras A. & X. Tafunell,,
HS-SWE,Historical Statistics Sweden,secondary,,,
HS-UK,Historical Statistics United Kingdom,estimation,Mitchell B. R.,,
HS-USA,Historical Statistics United States,estimation,"Carter S. B., Gartner S. S., Haines M. R., Olmstead A. L., Sutch R. & Wright G.",,
HT,Historiallisia Tutkimuksia,estimation,,,
IHS,International Historical Statistics,estimation,Mitchell B. R.,,
IMES,Institute for Monetary and Economic Studies(IMES),estimation,Bank of Japan,,
IPEA,Instituto de Pesquisa EconÃ´mica Aplicada,estimation,http://www.ipeadata.gov.br,http://www.ipeadata.gov.br,
Jobst,Jobst,estimation,,,
K,Kostelenos,estimation,,,
KJHYG,Kyong Je Hak Yon Gu,estimation,Kim N. N. & K.-J. Park,,
MC-SDN,Memorandum commerce SDN,secondary,SociÃ©tÃ© des Nations,,
MOxLAD,Montevideo-Oxford Latin American Economic History Data Base,estimation,,,
NEHA,NEHA-Jaarboek,estimation,Horlings E.,,
OMF,Origine Mondialisation Financiere,estimation,Flandreau M. & F. Zumer,,
RC-USA,Report on commercial relations United States,primary,,,
SA-BC,Statistical Abstract British Colonies,secondary,Board of Trade,,
SA-FC,Statistical Abstract Foreign Countries,secondary,,,
SA-IND,Statistical Abstract British India,secondary,India Office,,
SA-USA,Statistical Abstract United States,secondary,US Census Bureau,,
SAFC(US),Statistical Abstract of Foreign Countries,estimation,Department of commerce and labor,,
TC-BL,Tableau commerce Belgique,primary,MinistÃ¨re des finances,,Tableau annuel du commerce de la Belgique avec les pays étrangers
SC-BUL,Statistique commerce Bulgarie,primary,Direction gÃ©nÃ©rale de la statistique,,Statistique du Commerce de la Bulgarie avec les pays Ã©trangers
SC-COL-FR,Statistiques commerce colonies franÃ§aises,secondary,MinistÃ¨re des Colonies,,
SC-SDN,Statistiques commerce SDN,secondary,SociÃ©tÃ© des Nations,,
SCOL-FR,Statistiques coloniales France,secondary,MinistÃ¨re des Colonies,,
SCPF-COL-FR,Statistiques commerce possessions franÃ§aises,secondary,SecrÃ©tariat d'Etat aux Colonies,,
SF-1838,Statistique de la France. Commerce ExtÃ©rieur,primary,"MinistÃ¨re des travaux publics, de l'agriculture et du commerce",,
SH-GER,Statistisches Handbuch Deutschland,secondary,Kaiserliches Statistisches Amt,,
SH-NL,Statistiek Handel Nederlanden,primary,Ministerie van financiÃ«n,,
SH-SWE,Sveriges Handel,primary,Kommerskollegium,,
SH-SWI,Statistik Handel Schweiz,primary,,,
