id,name,type,continent,lat,long,wikidata
Perak,Perak,country,Asia,4.75,101,Q188953
Afghanistan_BaluchistanKalat,Afghanistan & Baluchistan (Kalat),group,Asia,31.0,66.0,
St.Kitts-Nevis,St. Kitts-Nevis,country,America,17.33,-62.666667,Q763
Heligoland,Heligoland,country,Europe,54.1825,7.8852777778,Q3038
Lübeck,Lübeck,country,Europe,53.8697222222,10.6863888889,Q2843
Greece_RussiaUSSR_Turkey,Greece & Russia/USSR & Turkey,group,World,46.5,53.0,
FalklandIs._Uruguay,Falkland Is. & Uruguay,group,America,-42.24166666665001,-57.825,
PenondeVelez,Penon de Velez,country,Africa,35.1731111111,-4.3001944444,Q191146
PerimI.,Perim I.,country,Asia,12.65975,43.421092,Q1160017
Dominica,Dominica,country,America,15.416667,-61.333333,Q784
CapeColony_Mauritius_NewSouthWales,Cape Colony & Mauritius & New South Wales,group,World,-28.4,74.16666666666667,
Palembang,Palembang,country,Asia,-2.9833333333,104.7644444444,Q8131
Senegal_FrenchWestAfrica,Senegal & French West Africa,group,Africa,14.4296465,-9.9721255,
Brunswick,Brunswick,country,Europe,52.269167,10.521111,Q326029
Aden_India,Aden & India,group,Asia,17.4,61.01666666664999,
Lübeck_MecklenburgSchwerin_Othercountries,Lübeck & Mecklenburg Schwerin & Other countries,group,World,53.7492761111,11.05012944445,
Syria_Lebanon,Syria & Lebanon,group,Asia,34.525000000000006,37.175,
Netherlands,Netherlands,country,Europe,52.3166666667,5.55,Q55
CanaryIs._Spain,Canary Is. & Spain,group,World,34.268,-9.3745,
Uzbekistan,Uzbekistan,country,Asia,41,66,Q265
EquatorialGuineaSpanishGuinea,Equatorial Guinea (Spanish Guinea),country,Africa,1.5833333333,10.35,Q1232509
KingdomofSardinia_Genoa,Kingdom of Sardinia & Genoa,group,Europe,40.072,8.98,
Assam_Bengal_Bihar_Odisha,Assam & Bengal & Bihar & Odisha,group,Asia,26.0,93.0,
Genoa_Trieste,Genoa & Trieste,group,Europe,45.6361111111,13.8041666667,
CostaRica_ElSalvador_Guatemala_Honduras_Nicaragua,Costa Rica & El Salvador & Guatemala & Honduras & Nicaragua,group,America,13.168801932529613,-86.8299249464832,
Hawaii,Hawaii,country,America,21.3113888889,-157.7963888889,Q782
FrenchPolynesia,French Polynesia,country,Oceania,-17.5333333333,-149.5666666667,Q30971
Bavaria_Frankfurt_Saxony,Bavaria & Frankfurt & Saxony,group,Europe,49.972685185166675,11.156574074066667,
Macao,Macao,country,Asia,22.1666666667,113.55,Q14773
Malacca,Malacca,country,Asia,2.2,102.251,Q185221
Sambas,Sambas,country,Asia,1.41667,109.33333,Q14164
Vietnam,Vietnam,country,Asia,16,108,Q881
HejazSultanate,Hejaz Sultanate,country,Asia,21.4225,39.82611111,Q956357
Sweden_SwedishColonies,Sweden & Swedish Colonies,group,World,61.0,14.999999999999998,
OmanMuscatandOman_UnitedArabEmiratesTrucialOman,Oman (Muscat and Oman) & United Arab Emirates (Trucial Oman),group,Asia,22.641666666650003,54.49999999999999,
Portugal_PortugueseColonies,Portugal & Portuguese Colonies,group,World,38.7,-9.1833333333,
CapeBretonI.,Cape Breton I.,country,America,46.1666666667,-60.75,Q188489
ChinaPeople'sRepublicofChina_India_Singapore,China (People's Republic of China) & India & Singapore,group,Asia,19.433333333333334,94.6,
BritishKaffraria,British Kaffraria,country,Africa,-32.88333333,27.4,Q918121
Bali,Bali,country,Asia,-8.335,115.0880555556,Q4648
Latvia,Latvia,country,Europe,57,25,Q211
Wallachia,Wallachia,country,Europe,44.4166666667,26.1,Q171393
FrenchWestAfrica_CamerounFrenchCameroons_TogoFrenchTogoland,French West Africa & Cameroun (French Cameroons) & Togo (French Togoland),group,Africa,8.869681666666667,2.3476593333333327,
Fiume_Italy,Fiume & Italy,group,Europe,43.914861111099995,13.4661111111,
Tetuan,Tetuan,country,Africa,35.5666666667,-5.3666666667,Q185157
ViceroyaltyofLaPlata_Uruguay,Viceroyalty of La Plata & Uruguay,group,America,-33.70000016665,-57.52500000000001,
Gozo_Malta,Gozo & Malta,group,Europe,35.8833333333,14.500000000000002,
Cyprus,Cyprus,country,Europe,35,33,Q229
EasternRumelia,Eastern Rumelia,country,Europe,42.1421,24.7499,Q459780
Corfu_Malta,Corfu & Malta,group,Europe,37.7536111111,17.16,
Palestine_Syria,Palestine & Syria,group,Asia,33.4978473889,36.91022205555,
Bahamas_TurksandCaicosIs.,Bahamas & Turks and Caicos Is.,group,America,22.725,-73.99166666665002,
Algeria_France,Algeria & France,group,World,37.5,1.5000000000000002,
ColombiaGranColombia_Venezuela,Colombia (Gran Colombia) & Venezuela,group,America,6.000000000000001,-70.5,
GuyanaBr.Guiana_FrenchGuyana_Surinam,Guyana (Br. Guiana) & French Guyana & Surinam,group,America,4.577397666666667,-56.10553566666667,
CochinChina_KampucheaCambodia,Cochin China & Kampuchea (Cambodia),group,Asia,13.7775,107.97,
