RICname,type,continent,COW_code,slug,part_of_country,wikidata,lat,lng
Azores (Western Isles),country,Europe,400,AzoresWesternIsles,,Q25263,,
Banjermassin (Dutch Borneo),country,Asia,8543,BanjermassinDutchBorneo,,Q14182,,
British Cameroons,country,Africa,472,BritishCameroons,,Q1028835,,
British Kaffraria,country,Africa,5614,BritishKaffraria,,Q918121,,
British Somaliland (Somaliland Republic),country,Africa,521,BritishSomalilandSomalilandRepublic,,Q662653,,
California (Great Bear Republic),country,America,1014,CaliforniaGreatBearRepublic,,Q99,,
Cameroun (French Cameroons),country,Africa,471,CamerounFrenchCameroons,,Q1028848,,
Cochin China,country,Asia,8151,CochinChina,,Q505503,14.955,110.940
Congo (Brazzaville) (French Congo) (Middle Congo),country,Africa,484,CongoBrazzavilleFrenchCongoMiddleCongo,,Q971,,
Coromandel Coast Posts,country,Asia,7503,CoromandelCoastPosts,,Q182561,,
Djibouti (Afar and Issas) (French Somaliland),country,Africa,522,DjiboutiAfarandIssasFrenchSomaliland,,Q977,,
Dutch Posts (Gold Coast),country,Africa,4535,DutchPostsGoldCoast,,Q770776,7.870,-0.994
Eastern Rumelia,country,Europe,3551,EasternRumelia,,Q459780,,
Egypt/United Arab Republic,country,Africa,651,EgyptUnitedArabRepublic,,Q79,,
Federated Malay States,country,Asia,821,FederatedMalayStates,,Q1400154,,
French Equatorial Africa,country,Africa,480,FrenchEquatorialAfrica,,Q271894,,
French Indochina,country,Asia,810,FrenchIndochina,,Q185682,,
Gilbert and Ellice Is.,country,Oceania,945,GilbertandElliceIs.,,Q1050859,,
Gold Coast-Togoland (Neutral Zone),country,Africa,4559,,,Q161062,,
Guinea (French Guinea) (Rivieres du Sud),country,Africa,438,GuineaFrenchGuineaRivieresduSud,,Q797433,,
Guinea-Bissau (Portuguese Guinea),country,Africa,404,Guinea-BissauPortugueseGuinea,,Q1007,,
Indonesia (Dutch East Indies),country,Asia,850,IndonesiaDutchEastIndies,,Q252,,
Jordan (Transjordan),country,Asia,663,JordanTransjordan,,Q810,,
Kenya (British East Africa Protectorate),country,Africa,501,KenyaBritishEastAfricaProtectorate,,Q114,,
Kiauchau,country,Asia,7220,Kiauchau,,Q489170,,
Kingdom of Sardinia,country,Europe,325S,KingdomofSardinia,,Q165154,40.072,8.980
Korea (Chosen),country,Asia,730,KoreaChosen,,Q18097,,
Kwanchowan,country,Asia,7110,Kwanchowan,,Q1506615,,
Kwangtung Territory (Leased),country,Asia,7104,KwangtungTerritoryLeased,,Q15175,,
Lesotho (Basutoland),country,Africa,570,LesothoBasutoland,,Q1013,,
