year,modified_currency,rate_to_pounds,source,notes
1926,albanian gold franc,25.1775071262,StatisticalYearbookOfTheLeagueOfNations,
1927,albanian gold franc,25.0567010309,StatisticalYearbookOfTheLeagueOfNations,
1928,albanian gold franc,25.2124352332,StatisticalYearbookOfTheLeagueOfNations,
1929,albanian gold franc,25.265969994,StatisticalYearbookOfTheLeagueOfNations,
1930,albanian gold franc,25.2406026561,StatisticalYearbookOfTheLeagueOfNations,
1931,albanian gold franc,23.4537863134,StatisticalYearbookOfTheLeagueOfNations,
1932,albanian gold franc,18.1007402662,StatisticalYearbookOfTheLeagueOfNations,
1933,albanian gold franc,17.2752961291,StatisticalYearbookOfTheLeagueOfNations,
1934,albanian gold franc,15.7245995305,StatisticalYearbookOfTheLeagueOfNations,
1935,albanian gold franc,15.1545441196,StatisticalYearbookOfTheLeagueOfNations,
1936,albanian gold franc,15.2248290983,StatisticalYearbookOfTheLeagueOfNations,
1937,albanian gold franc,15.0990040644,StatisticalYearbookOfTheLeagueOfNations,
1938,albanian gold franc,14.9377569581,StatisticalYearbookOfTheLeagueOfNations,
1939,albanian gold franc,13.6890526657,StatisticalYearbookOfTheLeagueOfNations,
1841,alexandrian piastre,97.1576923077,AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_Egypte_Fc7,
1842,alexandrian piastre,97.9230769231,AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_Egypte_Fc7,
1843,alexandrian piastre,98.35,AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_Egypte_Fc7,
1844,alexandrian piastre,98.0653846154,AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_Egypte_Fc7,
1845,alexandrian piastre,98.5076923077,AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_Egypte_Fc7,
1846,alexandrian piastre,98.4730769231,AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_Egypte_Fc7,
1847,alexandrian piastre,97.7346153846,AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_Egypte_Fc7,
1848,alexandrian piastre,97.9346153846,AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_Egypte_Fc7,
