source,reporting,partner,flow,unit,currency,year,export_import,special_general,species_bullions,transport_type,statistical_period,partner_sum,world_trade_type,notes
EC-CHL_1856_114_1855,Chile,Francia y sus colonias,2823566,1,pesos,1855,Imp,Spe,,,,,,
EC-CHL_1856_114_1855,Chile,Cerdeña,92143,1,pesos,1855,Imp,Spe,,,,,,
EC-CHL_1856_114_1855,Chile,China,144350,1,pesos,1855,Imp,Spe,,,,,,
EC-CHL_1856_114_1855,Chile,Norte-América,2095232,1,pesos,1855,Imp,Spe,,,,,,
EC-CHL_1856_114_1855,Chile,Nueva Granada,444994,1,pesos,1855,Imp,Spe,,,,,,
EC-CHL_1856_114_1855,Chile,Paraguay,,1,pesos,1855,Imp,Spe,,,,,,
EC-CHL_1856_114_1855,Chile,Uruguay,,1,pesos,1855,Imp,Spe,,,,,,
EC-CHL_1856_114_1855,Chile,Perú,730661,1,pesos,1855,Imp,Spe,,,,,,
EC-CHL_1856_114_1855,Chile,Bolivia,51715,1,pesos,1855,Imp,Spe,,,,,,
EC-CHL_1856_114_1855,Chile,Inglaterra y sus colonias,6559920,1,pesos,1855,Imp,Spe,,,,,,
EC-CHL_1856_114_1855,Chile,Alemania,1677714,1,pesos,1855,Imp,Spe,,,,,,
EC-CHL_1856_114_1855,Chile,Béljica,404533,1,pesos,1855,Imp,Spe,,,,,,
EC-CHL_1856_114_1855,Chile,Holanda,187403,1,pesos,1855,Imp,Spe,,,,,,
EC-CHL_1856_114_1855,Chile,España y sus colonias,396613,1,pesos,1855,Imp,Spe,,,,,,
EC-CHL_1856_114_1855,Chile,Polinesia (Islas),16107,1,pesos,1855,Imp,Spe,,,,,,
EC-CHL_1856_114_1855,Chile,Australia,11559,1,pesos,1855,Imp,Spe,,,,,,
EC-CHL_1856_114_1855,Chile,Méjico,199641,1,pesos,1855,Imp,Spe,,,,,,
EC-CHL_1856_114_1855,Chile,California,195548,1,pesos,1855,Imp,Spe,,,,,,
EC-CHL_1856_114_1855,Chile,Centro Améric,129880,1,pesos,1855,Imp,Spe,,,,,,
EC-CHL_1856_114_1855,Chile,Ecuador,217881,1,pesos,1855,Imp,Spe,,,,,,
EC-CHL_1856_114_1855,Chile,Brasil,1133607,1,pesos,1855,Imp,Spe,,,,,,
EC-CHL_1856_114_1855,Chile,República Arjentina,920220,1,pesos,1855,Imp,Spe,,,,,,
EC-CHL_1856_114_1855,Chile,Suma total,18433287,1,pesos,1855,Imp,Spe,,,,,total_reporting,
EC-CHL_1856_114_1855,Chile,Francia y sus colonias,1141774,1,pesos,1855,Exp,Spe,,,,,,
EC-CHL_1856_114_1855,Chile,Cerdeña,,1,pesos,1855,Exp,Spe,,,,,,
EC-CHL_1856_114_1855,Chile,China,,1,pesos,1855,Exp,Spe,,,,,,
EC-CHL_1856_114_1855,Chile,Norte-América,1649644,1,pesos,1855,Exp,Spe,,,,,,
