source,reporting,partner,flow,unit,currency,year,export_import,special_general,species_bullions,transport_type,statistical_period,partner_sum,world_trade_type,notes,
CE-COL_1938_86-87_1936,Colombia,Albania,,1,Pesos,1936,Imp,,,,,,,Import como país de origen.,
CE-COL_1938_86-87_1936,Colombia,Alemania,26984566,1,Pesos,1936,Imp,,,,,,,Import como país de origen.,
CE-COL_1938_86-87_1936,Colombia,Andorra,,1,Pesos,1936,Imp,,,,,,,Import como país de origen.,
CE-COL_1938_86-87_1936,Colombia,Austria,191855,1,Pesos,1936,Imp,,,,,,,Import como país de origen.,
CE-COL_1938_86-87_1936,Colombia,Bélgica y Luxemburgo,2131250,1,Pesos,1936,Imp,,,,,,,Import como país de origen.,
CE-COL_1938_86-87_1936,Colombia,Bulgaria,1541,1,Pesos,1936,Imp,,,,,,,Import como país de origen.,
CE-COL_1938_86-87_1936,Colombia,Dinamarca,242060,1,Pesos,1936,Imp,,,,,,,Import como país de origen.,
CE-COL_1938_86-87_1936,Colombia,Checoeslovaquia,1363482,1,Pesos,1936,Imp,,,,,,,Import como país de origen.,
CE-COL_1938_86-87_1936,Colombia,España,884081,1,Pesos,1936,Imp,,,,,,,Import como país de origen.,
CE-COL_1938_86-87_1936,Colombia,Estonia,15209,1,Pesos,1936,Imp,,,,,,,Import como país de origen.,
CE-COL_1938_86-87_1936,Colombia,Finlandia,158776,1,Pesos,1936,Imp,,,,,,,Import como país de origen.,
CE-COL_1938_86-87_1936,Colombia,Francia,3732998,1,Pesos,1936,Imp,,,,,,,Import como país de origen.,
CE-COL_1938_86-87_1936,Colombia,Grecia,66757,1,Pesos,1936,Imp,,,,,,,Import como país de origen.,
CE-COL_1938_86-87_1936,Colombia,Hungria,102132,1,Pesos,1936,Imp,,,,,,,Import como país de origen.,
CE-COL_1938_86-87_1936,Colombia,Irlanda,168399,1,Pesos,1936,Imp,,,,,,,Import como país de origen.,
CE-COL_1938_86-87_1936,Colombia,Italia,486938,1,Pesos,1936,Imp,,,,,,,Import como país de origen.,
CE-COL_1938_86-87_1936,Colombia,Letonia,3177,1,Pesos,1936,Imp,,,,,,,Import como país de origen.,
CE-COL_1938_86-87_1936,Colombia,Lituania,508,1,Pesos,1936,Imp,,,,,,,Import como país de origen.,
CE-COL_1938_86-87_1936,Colombia,Noruega,375760,1,Pesos,1936,Imp,,,,,,,Import como país de origen.,
CE-COL_1938_86-87_1936,Colombia,Malta,2389,1,Pesos,1936,Imp,,,,,,,Import como país de origen.,
CE-COL_1938_86-87_1936,Colombia,Paises Bajos,1163696,1,Pesos,1936,Imp,,,,,,,Import como país de origen.,
CE-COL_1938_86-87_1936,Colombia,Polonia,208561,1,Pesos,1936,Imp,,,,,,,Import como país de origen.,
CE-COL_1938_86-87_1936,Colombia,Portugal,249881,1,Pesos,1936,Imp,,,,,,,Import como país de origen.,
CE-COL_1938_86-87_1936,Colombia,Rumania,557,1,Pesos,1936,Imp,,,,,,,Import como país de origen.,
CE-COL_1938_86-87_1936,Colombia,Reino Unido,21439537,1,Pesos,1936,Imp,,,,,,,Import como país de origen.,
CE-COL_1938_86-87_1936,Colombia,Suecia,1056175,1,Pesos,1936,Imp,,,,,,,Import como país de origen.,
CE-COL_1938_86-87_1936,Colombia,Suiza,727209,1,Pesos,1936,Imp,,,,,,,Import como país de origen.,
CE-COL_1938_86-87_1936,Colombia,Turquia,5141,1,Pesos,1936,Imp,,,,,,,Import como país de origen.,
CE-COL_1938_86-87_1936,Colombia,Unión Soviética,61697,1,Pesos,1936,Imp,,,,,,,Import como país de origen.,
CE-COL_1938_86-87_1936,Colombia,Yugoeslavia,10817,1,Pesos,1936,Imp,,,,,,,Import como país de origen.,
CE-COL_1938_86-87_1936,Colombia,Alaska,,1,Pesos,1936,Imp,,,,,,,Import como país de origen.,
CE-COL_1938_86-87_1936,Colombia,Canadá,1772232,1,Pesos,1936,Imp,,,,,,,Import como país de origen.,
CE-COL_1938_86-87_1936,Colombia,Estados Unidos,47743486,1,Pesos,1936,Imp,,,,,,,Import como país de origen.,
CE-COL_1938_86-87_1936,Colombia,Antillas británicas,690477,1,Pesos,1936,Imp,,,,,,,Import como país de origen.,
CE-COL_1938_86-87_1936,Colombia,Antillas francesas,5,1,Pesos,1936,Imp,,,,,,,Import como país de origen.,
CE-COL_1938_86-87_1936,Colombia,Antillas holandesas,591749,1,Pesos,1936,Imp,,,,,,,Import como país de origen.,
CE-COL_1938_86-87_1936,Colombia,Costa Rica,161293,1,Pesos,1936,Imp,,,,,,,Import como país de origen.,
CE-COL_1938_86-87_1936,Colombia,Cuba,916359,1,Pesos,1936,Imp,,,,,,,Import como país de origen.,
CE-COL_1938_86-87_1936,Colombia,Curazao,,1,Pesos,1936,Imp,,,,,,,Import como país de origen.,Incluido en Antillas holandeses
CE-COL_1938_86-87_1936,Colombia,Guatemala,96,1,Pesos,1936,Imp,,,,,,,Import como país de origen.,
CE-COL_1938_86-87_1936,Colombia,Haiti,290,1,Pesos,1936,Imp,,,,,,,Import como país de origen.,
CE-COL_1938_86-87_1936,Colombia,Honduras,272,1,Pesos,1936,Imp,,,,,,,Import como país de origen.,
CE-COL_1938_86-87_1936,Colombia,Honduras británicas,,1,Pesos,1936,Imp,,,,,,,Import como país de origen.,
CE-COL_1938_86-87_1936,Colombia,Jamaica,,1,Pesos,1936,Imp,,,,,,,Import como país de origen.,Incluido en Antillas británicas
CE-COL_1938_86-87_1936,Colombia,Martinica,,1,Pesos,1936,Imp,,,,,,,Import como país de origen.,Incluido en Antillas francesas
CE-COL_1938_86-87_1936,Colombia,México,384660,1,Pesos,1936,Imp,,,,,,,Import como país de origen.,
CE-COL_1938_86-87_1936,Colombia,Nicaragua,41,1,Pesos,1936,Imp,,,,,,,Import como país de origen.,
CE-COL_1938_86-87_1936,Colombia,Panama,156926,1,Pesos,1936,Imp,,,,,,,Import como país de origen.,
CE-COL_1938_86-87_1936,Colombia,Puerto Rico,5508,1,Pesos,1936,Imp,,,,,,,Import como país de origen.,
CE-COL_1938_86-87_1936,Colombia,República Dominica,5,1,Pesos,1936,Imp,,,,,,,Import como país de origen.,
CE-COL_1938_86-87_1936,Colombia,El Salvador,246,1,Pesos,1936,Imp,,,,,,,Import como país de origen.,
CE-COL_1938_86-87_1936,Colombia,Trinidad y Tobago,,1,Pesos,1936,Imp,,,,,,,Import como país de origen.,Incluido en Antillas francesas
CE-COL_1938_86-87_1936,Colombia,Zona del Canal,41117,1,Pesos,1936,Imp,,,,,,,Import como país de origen.,
CE-COL_1938_86-87_1936,Colombia,Argentina,190928,1,Pesos,1936,Imp,,,,,,,Import como país de origen.,
CE-COL_1938_86-87_1936,Colombia,Bolivia,2118,1,Pesos,1936,Imp,,,,,,,Import como país de origen.,
CE-COL_1938_86-87_1936,Colombia,Brasil,793110,1,Pesos,1936,Imp,,,,,,,Import como país de origen.,
CE-COL_1938_86-87_1936,Colombia,Chile,305773,1,Pesos,1936,Imp,,,,,,,Import como país de origen.,
CE-COL_1938_86-87_1936,Colombia,Ecuador,228273,1,Pesos,1936,Imp,,,,,,,Import como país de origen.,
CE-COL_1938_86-87_1936,Colombia,Guyana holandesa,,1,Pesos,1936,Imp,,,,,,,Import como país de origen.,
CE-COL_1938_86-87_1936,Colombia,Paraguay,13130,1,Pesos,1936,Imp,,,,,,,Import como país de origen.,
