source,reporting,partner,flow,unit,currency,year,export_import,special_general,species_bullions,transport_type,statistical_period,partner_sum,world_trade_type,notes
CE-ARG_1938_LXI_1910,Argentina,Total,862164807,1000,m$n,1910,Imp,,,,,,total_reporting,"Valores ""reales"" del comercio exterior"
CE-ARG_1938_LXI_1911,Argentina,Total,920499982,1000,m$n,1911,Imp,,,,,,total_reporting,"Valores ""reales"" del comercio exterior"
CE-ARG_1938_LXI_1912,Argentina,Total,1015597731,1000,m$n,1912,Imp,,,,,,total_reporting,"Valores ""reales"" del comercio exterior"
CE-ARG_1938_LXI_1913,Argentina,Total,1127788850,1000,m$n,1913,Imp,,,,,,total_reporting,"Valores ""reales"" del comercio exterior"
CE-ARG_1938_LXI_1914,Argentina,Total,733022645,1000,m$n,1914,Imp,,,,,,total_reporting,"Valores ""reales"" del comercio exterior"
CE-ARG_1938_LXI_1915,Argentina,Total,694290922,1000,m$n,1915,Imp,,,,,,total_reporting,"Valores ""reales"" del comercio exterior"
CE-ARG_1938_LXI_1916,Argentina,Total,832114934,1000,m$n,1916,Imp,,,,,,total_reporting,"Valores ""reales"" del comercio exterior"
CE-ARG_1938_LXI_1917,Argentina,Total,864366313,1000,m$n,1917,Imp,,,,,,total_reporting,"Valores ""reales"" del comercio exterior"
CE-ARG_1938_LXI_1918,Argentina,Total,1137733527,1000,m$n,1918,Imp,,,,,,total_reporting,"Valores ""reales"" del comercio exterior"
CE-ARG_1938_LXI_1919,Argentina,Total,1490391577,1000,m$n,1919,Imp,,,,,,total_reporting,"Valores ""reales"" del comercio exterior"
CE-ARG_1938_LXI_1920,Argentina,Total,2124926588,1000,m$n,1920,Imp,,,,,,total_reporting,"Valores ""reales"" del comercio exterior"
CE-ARG_1938_LXI_1921,Argentina,Total,1703485674,1000,m$n,1921,Imp,,,,,,total_reporting,"Valores ""reales"" del comercio exterior"
CE-ARG_1938_LXI_1922,Argentina,Total,1567376070,1000,m$n,1922,Imp,,,,,,total_reporting,"Valores ""reales"" del comercio exterior"
CE-ARG_1938_LXI_1923,Argentina,Total,1973704763,1000,m$n,1923,Imp,,,,,,total_reporting,"Valores ""reales"" del comercio exterior"
CE-ARG_1938_LXI_1924,Argentina,Total,1883431802,1000,m$n,1924,Imp,,,,,,total_reporting,"Valores ""reales"" del comercio exterior"
CE-ARG_1938_LXI_1925,Argentina,Total,1992835604,1000,m$n,1925,Imp,,,,,,total_reporting,"Valores ""reales"" del comercio exterior"
CE-ARG_1938_LXI_1926,Argentina,Total,1869310220,1000,m$n,1926,Imp,,,,,,total_reporting,"Valores ""reales"" del comercio exterior"
CE-ARG_1938_LXI_1927,Argentina,Total,1947282736,1000,m$n,1927,Imp,,,,,,total_reporting,"Valores ""reales"" del comercio exterior"
CE-ARG_1938_LXI_1928,Argentina,Total,1901608474,1000,m$n,1928,Imp,,,,,,total_reporting,"Valores ""reales"" del comercio exterior"
CE-ARG_1938_LXI_1929,Argentina,Total,1959084898,1000,m$n,1929,Imp,,,,,,total_reporting,"Valores ""reales"" del comercio exterior"
CE-ARG_1938_LXI_1930,Argentina,Total,1679960782,1000,m$n,1930,Imp,,,,,,total_reporting,"Valores ""reales"" del comercio exterior"
CE-ARG_1938_LXI_1931,Argentina,Total,1173828311,1000,m$n,1931,Imp,,,,,,total_reporting,"Valores ""reales"" del comercio exterior"
CE-ARG_1938_LXI_1932,Argentina,Total,836264536,1000,m$n,1932,Imp,,,,,,total_reporting,"Valores ""reales"" del comercio exterior"
CE-ARG_1938_LXI_1933,Argentina,Total,897148929,1000,m$n,1933,Imp,,,,,,total_reporting,"Valores ""reales"" del comercio exterior"
CE-ARG_1938_LXI_1934,Argentina,Total,1109932444,1000,m$n,1934,Imp,,,,,,total_reporting,"Valores ""reales"" del comercio exterior"
CE-ARG_1938_LXI_1935,Argentina,Total,1174981223,1000,m$n,1935,Imp,,,,,,total_reporting,"Valores ""reales"" del comercio exterior"
CE-ARG_1938_LXI_1936,Argentina,Total,1116710994,1000,m$n,1936,Imp,,,,,,total_reporting,"Valores ""reales"" del comercio exterior"
CE-ARG_1938_LXI_1937,Argentina,Total,1557684380,1000,m$n,1937,Imp,,,,,,total_reporting,"Valores ""reales"" del comercio exterior"
CE-ARG_1938_LXI_1938,Argentina,Total,1460887797,1000,m$n,1938,Imp,,,,,,total_reporting,"Valores ""reales"" del comercio exterior"
CE-ARG_1938_LXI_1910,Argentina,Total,884253091,1000,m$n,1910,Exp,,,,,,total_reporting,"Valores ""reales"" del comercio exterior"
CE-ARG_1938_LXI_1911,Argentina,Total,777993768,1000,m$n,1911,Exp,,,,,,total_reporting,"Valores ""reales"" del comercio exterior"
CE-ARG_1938_LXI_1912,Argentina,Total,1140153111,1000,m$n,1912,Exp,,,,,,total_reporting,"Valores ""reales"" del comercio exterior"
CE-ARG_1938_LXI_1913,Argentina,Total,1179900025,1000,m$n,1913,Exp,,,,,,total_reporting,"Valores ""reales"" del comercio exterior"
CE-ARG_1938_LXI_1914,Argentina,Total,916207993,1000,m$n,1914,Exp,,,,,,total_reporting,"Valores ""reales"" del comercio exterior"
CE-ARG_1938_LXI_1915,Argentina,Total,1323134725,1000,m$n,1915,Exp,,,,,,total_reporting,"Valores ""reales"" del comercio exterior"
CE-ARG_1938_LXI_1916,Argentina,Total,1302271642,1000,m$n,1916,Exp,,,,,,total_reporting,"Valores ""reales"" del comercio exterior"
CE-ARG_1938_LXI_1917,Argentina,Total,1250386475,1000,m$n,1917,Exp,,,,,,total_reporting,"Valores ""reales"" del comercio exterior"
CE-ARG_1938_LXI_1918,Argentina,Total,1821514745,1000,m$n,1918,Exp,,,,,,total_reporting,"Valores ""reales"" del comercio exterior"
CE-ARG_1938_LXI_1919,Argentina,Total,2343102859,1000,m$n,1919,Exp,,,,,,total_reporting,"Valores ""reales"" del comercio exterior"
CE-ARG_1938_LXI_1920,Argentina,Total,2372921295,1000,m$n,1920,Exp,,,,,,total_reporting,"Valores ""reales"" del comercio exterior"
CE-ARG_1938_LXI_1921,Argentina,Total,1525294136,1000,m$n,1921,Exp,,,,,,total_reporting,"Valores ""reales"" del comercio exterior"
