id,source,type,flow,year,unit,expimp,spegen,rate,currency,reporting,original_reporting,reporting_slug,partner_slug,partner,original_partner,reporting_type,reporting_continent,reporting_part_of_country,partner_type,partner_continent,partner_part_of_country,transport_type,notes,species_bullions,source_label
64408,StatisticalAbstractRelatingToBritishIndia_18601869,secondary,105755.0,1866,1,Exp,Gen,1.0,"sterling pound",India,"british india (bengal, british burman, madras, bombay)",India,BritishWestIndies,"British West Indies","british west indies",country,Asia,,colonial_area,America,"United Kingdom",Mer,,S,"Statistical Abstract relating to British India"
64409,StatisticalAbstractRelatingToBritishIndia_18601869,secondary,79502.0,1867,1,Exp,Gen,1.0,"sterling pound",India,"british india (bengal, british burman, madras, bombay)",India,BritishWestIndies,"British West Indies","british west indies",country,Asia,,colonial_area,America,"United Kingdom",Mer,,S,"Statistical Abstract relating to British India"
64410,StatisticalAbstractRelatingToBritishIndia_186768187677,secondary,123211.0,1868,1,Exp,Gen,1.0,"sterling pound",India,"british india (bengal, british burman, madras, bombay)",India,BritishWestIndies,"British West Indies","british west indies",country,Asia,,colonial_area,America,"United Kingdom",Mer,,S,"Statistical Abstract relating to British India"
64411,StatisticalAbstractRelatingToBritishIndia_186768187677,secondary,102742.0,1869,1,Exp,Gen,1.0,"sterling pound",India,"british india (bengal, british burman, madras, bombay)",India,BritishWestIndies,"British West Indies","british west indies",country,Asia,,colonial_area,America,"United Kingdom",Mer,,S,"Statistical Abstract relating to British India"
64412,StatisticalAbstractRelatingToBritishIndia_186768187677,secondary,122256.0,1870,1,Exp,Gen,1.0,"sterling pound",India,"british india (bengal, british burman, madras, bombay)",India,BritishWestIndies,"British West Indies","british west indies",country,Asia,,colonial_area,America,"United Kingdom",Mer,,S,"Statistical Abstract relating to British India"
64413,StatisticalAbstractRelatingToBritishIndia_186768187677,secondary,126950.0,1871,1,Exp,Gen,1.0,"sterling pound",India,"british india (bengal, british burman, madras, bombay)",India,BritishWestIndies,"British West Indies","british west indies",country,Asia,,colonial_area,America,"United Kingdom",Mer,,S,"Statistical Abstract relating to British India"
64419,StatisticalAbstractRelatingToBritishIndia_187677188586,secondary,79534.0,1877,1,Exp,Gen,1.0,"sterling pound",India,"british india (bengal, british burman, madras, bombay)",India,BritishWestIndies,"British West Indies","british west indies",country,Asia,,colonial_area,America,"United Kingdom",Mer,,S,"Statistical Abstract relating to British India"
64420,StatisticalAbstractRelatingToBritishIndia_187677188586,secondary,146264.0,1878,10,Exp,Gen,11.955,"indian rupee",India,"british india (bengal, british burman, madras, bombay)",India,BritishWestIndies,"British West Indies","british west indies",country,Asia,,colonial_area,America,"United Kingdom",Mer,,S,"Statistical Abstract relating to British India"
64421,StatisticalAbstractRelatingToBritishIndia_187677188586,secondary,151346.0,1879,10,Exp,Gen,12.572,"indian rupee",India,"british india (bengal, british burman, madras, bombay)",India,BritishWestIndies,"British West Indies","british west indies",country,Asia,,colonial_area,America,"United Kingdom",Mer,,S,"Statistical Abstract relating to British India"
64432,StatisticalAbstractRelatingToBritishIndia_188586189495,secondary,132083.0,1890,10,Exp,Gen,13.242,"indian rupee",India,"british india (bengal, british burman, madras, bombay)",India,BritishWestIndies,"British West Indies","british west indies",country,Asia,,colonial_area,America,"United Kingdom",Mer,,S,"Statistical Abstract relating to British India"
64439,StatisticalAbstractRelatingToBritishIndia_189495190304,secondary,213259.0,1896,10,Exp,Gen,16.82,"indian rupee",India,"british india (bengal, british burman, madras, bombay)",India,BritishWestIndies,"British West Indies","british west indies",country,Asia,,colonial_area,America,"United Kingdom",Mer,,S,"Statistical Abstract relating to British India"
64457,StatisticalAbstractRelatingToBritishIndia_18401865,secondary,23959.0,1841,1,Imp,Gen,1.0,"sterling pound",India,"british india (bengal, british burman, madras, bombay)",India,BritishWestIndies,"British West Indies","british west indies",country,Asia,,colonial_area,America,"United Kingdom",Mer,,S,"Statistical Abstract relating to British India"
64458,StatisticalAbstractRelatingToBritishIndia_18401865,secondary,540.0,1842,1,Imp,Gen,1.0,"sterling pound",India,"british india (bengal, british burman, madras, bombay)",India,BritishWestIndies,"British West Indies","british west indies",country,Asia,,colonial_area,America,"United Kingdom",Mer,,S,"Statistical Abstract relating to British India"
64459,StatisticalAbstractRelatingToBritishIndia_18401865,secondary,17443.0,1843,1,Imp,Gen,1.0,"sterling pound",India,"british india (bengal, british burman, madras, bombay)",India,BritishWestIndies,"British West Indies","british west indies",country,Asia,,colonial_area,America,"United Kingdom",Mer,,S,"Statistical Abstract relating to British India"
