source,reporting,partner,flow,unit,currency,year,export_import,special_general,species_bullions,transport_type,statistical_period,partner_sum,world_trade_type
STAT-COM-ALG_1938_1938,Algérie,France,3751902,1000,Franc,1938,Imp,Spe,NS,,,,
STAT-COM-ALG_1938_1938,Algérie,Afrique equatoriale française,179,1000,Franc,1938,Imp,Spe,NS,,,,
STAT-COM-ALG_1938_1938,Algérie,Afrique occidentale française,44980,1000,Franc,1938,Imp,Spe,NS,,,,
STAT-COM-ALG_1938_1938,Algérie,Cameroun (mandat français),1059,1000,Franc,1938,Imp,Spe,NS,,,,
STAT-COM-ALG_1938_1938,Algérie,Côte des Somalis française,,1000,Franc,1938,Imp,Spe,NS,,,,
STAT-COM-ALG_1938_1938,Algérie,Nouvelle Calédonie,,1000,Franc,1938,Imp,Spe,NS,,,,
STAT-COM-ALG_1938_1938,Algérie,"Etablissements français en Océanie, autres",1,1000,Franc,1938,Imp,Spe,NS,,,,
STAT-COM-ALG_1938_1938,Algérie,Guadeloupe,41,1000,Franc,1938,Imp,Spe,NS,,,,
STAT-COM-ALG_1938_1938,Algérie,Guyane française,,1000,Franc,1938,Imp,Spe,NS,,,,
STAT-COM-ALG_1938_1938,Algérie,Indes françaises,872,1000,Franc,1938,Imp,Spe,NS,,,,
STAT-COM-ALG_1938_1938,Algérie,Indochine française,81914,1000,Franc,1938,Imp,Spe,NS,,,,
STAT-COM-ALG_1938_1938,Algérie,Madagascar,2089,1000,Franc,1938,Imp,Spe,NS,,,,
STAT-COM-ALG_1938_1938,Algérie,Maroc (protectorat français),267253,1000,Franc,1938,Imp,Spe,NS,,,,
STAT-COM-ALG_1938_1938,Algérie,Martinique,25,1000,Franc,1938,Imp,Spe,NS,,,,
STAT-COM-ALG_1938_1938,Algérie,Réunion,3,1000,Franc,1938,Imp,Spe,NS,,,,
STAT-COM-ALG_1938_1938,Algérie,Saint Pierre-et-Miquelon,,1000,Franc,1938,Imp,Spe,NS,,,,
STAT-COM-ALG_1938_1938,Algérie,Syrie (mandat français),5433,1000,Franc,1938,Imp,Spe,NS,,,,
STAT-COM-ALG_1938_1938,Algérie,Togo (mandat français),,1000,Franc,1938,Imp,Spe,NS,,,,
STAT-COM-ALG_1938_1938,Algérie,Tunisie (protectorat français),87145,1000,Franc,1938,Imp,Spe,NS,,,,
STAT-COM-ALG_1938_1938,Algérie,Oasis sahariennes,,1000,Franc,1938,Imp,Spe,NS,,,,
STAT-COM-ALG_1938_1938,Algérie,Albanie,,1000,Franc,1938,Imp,Spe,NS,,,,
STAT-COM-ALG_1938_1938,Algérie,Allemagne,41102,1000,Franc,1938,Imp,Spe,NS,,,,
STAT-COM-ALG_1938_1938,Algérie,Autriche,843,1000,Franc,1938,Imp,Spe,NS,,,,
STAT-COM-ALG_1938_1938,Algérie,Bulgarie,60,1000,Franc,1938,Imp,Spe,NS,,,,
STAT-COM-ALG_1938_1938,Algérie,Danemark,2115,1000,Franc,1938,Imp,Spe,NS,,,,
STAT-COM-ALG_1938_1938,Algérie,Espagne,899,1000,Franc,1938,Imp,Spe,NS,,,,
STAT-COM-ALG_1938_1938,Algérie,Esthonie,10,1000,Franc,1938,Imp,Spe,NS,,,,
STAT-COM-ALG_1938_1938,Algérie,Finlande,2140,1000,Franc,1938,Imp,Spe,NS,,,,
STAT-COM-ALG_1938_1938,Algérie,Grande-Bretagne,120755,1000,Franc,1938,Imp,Spe,NS,,,,
STAT-COM-ALG_1938_1938,Algérie,Grèce,1839,1000,Franc,1938,Imp,Spe,NS,,,,
STAT-COM-ALG_1938_1938,Algérie,Hongrie,4831,1000,Franc,1938,Imp,Spe,NS,,,,
STAT-COM-ALG_1938_1938,Algérie,Irlande (Etat libre),641,1000,Franc,1938,Imp,Spe,NS,,,,
STAT-COM-ALG_1938_1938,Algérie,Italie,16160,1000,Franc,1938,Imp,Spe,NS,,,,
STAT-COM-ALG_1938_1938,Algérie,Lettonie,8,1000,Franc,1938,Imp,Spe,NS,,,,
STAT-COM-ALG_1938_1938,Algérie,Lithuanie,,1000,Franc,1938,Imp,Spe,NS,,,,
STAT-COM-ALG_1938_1938,Algérie,Norvège,1410,1000,Franc,1938,Imp,Spe,NS,,,,
STAT-COM-ALG_1938_1938,Algérie,Pays-Bas,25897,1000,Franc,1938,Imp,Spe,NS,,,,
STAT-COM-ALG_1938_1938,Algérie,Pologne,5070,1000,Franc,1938,Imp,Spe,NS,,,,
STAT-COM-ALG_1938_1938,Algérie,Portugal,1263,1000,Franc,1938,Imp,Spe,NS,,,,
STAT-COM-ALG_1938_1938,Algérie,Roumanie,27221,1000,Franc,1938,Imp,Spe,NS,,,,
