bibliographic reference,author,name,country,volume_number,volume_date,editor,edition_date,pages,shelf_number,URL,source_category,type,notes
Abstract of Reports of Trade of Various Countries. Board of Trade. BNF: MICROFICHE M-150061862 [3054] LVIII.413.,,Abstract of Reports of Trade of Various Countries,,,,Board of Trade,,,BNF: MICROFICHE M-150061862 [3054] LVIII.413,,statistical series,secondary,
"Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers, Amérique centrale, FC15. https://www.deutsche-digitale-bibliothek.de/searchresults?query=annales%20du%20commerce&isThumbnailFiltered=true&rows=20&offset=0&viewType=list.",,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,Amérique centrale,FC15,,,,,,https://www.deutsche-digitale-bibliothek.de/searchresults?query=annales%20du%20commerce&isThumbnailFiltered=true&rows=20&offset=0&viewType=list,statistical series,secondary,
"Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers, Amérique centrale, FC16. https://www.deutsche-digitale-bibliothek.de/searchresults?query=annales%20du%20commerce&isThumbnailFiltered=true&rows=20&offset=0&viewType=list.",,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,Amérique centrale,FC16,,,,,,https://www.deutsche-digitale-bibliothek.de/searchresults?query=annales%20du%20commerce&isThumbnailFiltered=true&rows=20&offset=0&viewType=list,statistical series,secondary,
"Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers, Amérique centrale, FC17. https://www.deutsche-digitale-bibliothek.de/searchresults?query=annales%20du%20commerce&isThumbnailFiltered=true&rows=20&offset=0&viewType=list.",,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,Amérique centrale,FC17,,,,,,https://www.deutsche-digitale-bibliothek.de/searchresults?query=annales%20du%20commerce&isThumbnailFiltered=true&rows=20&offset=0&viewType=list,statistical series,secondary,
"Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers, Amérique centrale, FC18. https://www.deutsche-digitale-bibliothek.de/searchresults?query=annales%20du%20commerce&isThumbnailFiltered=true&rows=20&offset=0&viewType=list.",,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,Amérique centrale,FC18,,,,,,https://www.deutsche-digitale-bibliothek.de/searchresults?query=annales%20du%20commerce&isThumbnailFiltered=true&rows=20&offset=0&viewType=list,statistical series,secondary,
"Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers, Brésil, FC13. https://www.deutsche-digitale-bibliothek.de/searchresults?query=annales%20du%20commerce&isThumbnailFiltered=true&rows=20&offset=0&viewType=list.",,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,Brésil,FC13,,,,,,https://www.deutsche-digitale-bibliothek.de/searchresults?query=annales%20du%20commerce&isThumbnailFiltered=true&rows=20&offset=0&viewType=list,statistical series,secondary,
"Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers, Brésil, FC14. https://www.deutsche-digitale-bibliothek.de/searchresults?query=annales%20du%20commerce&isThumbnailFiltered=true&rows=20&offset=0&viewType=list.",,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,Brésil,FC14,,,,,,https://www.deutsche-digitale-bibliothek.de/searchresults?query=annales%20du%20commerce&isThumbnailFiltered=true&rows=20&offset=0&viewType=list,statistical series,secondary,
"Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers, Brésil, FC18. https://www.deutsche-digitale-bibliothek.de/searchresults?query=annales%20du%20commerce&isThumbnailFiltered=true&rows=20&offset=0&viewType=list.",,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,Brésil,FC18,,,,,,https://www.deutsche-digitale-bibliothek.de/searchresults?query=annales%20du%20commerce&isThumbnailFiltered=true&rows=20&offset=0&viewType=list,statistical series,secondary,
"Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers, Brésil, FC4. https://www.deutsche-digitale-bibliothek.de/searchresults?query=annales%20du%20commerce&isThumbnailFiltered=true&rows=20&offset=0&viewType=list.",,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,Brésil,FC4,,,,,,https://www.deutsche-digitale-bibliothek.de/searchresults?query=annales%20du%20commerce&isThumbnailFiltered=true&rows=20&offset=0&viewType=list,statistical series,secondary,
"Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers, Brésil, FC8. https://www.deutsche-digitale-bibliothek.de/searchresults?query=annales%20du%20commerce&isThumbnailFiltered=true&rows=20&offset=0&viewType=list.",,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,Brésil,FC8,,,,,,https://www.deutsche-digitale-bibliothek.de/searchresults?query=annales%20du%20commerce&isThumbnailFiltered=true&rows=20&offset=0&viewType=list,statistical series,secondary,
