year,reporting,partner,expimp,GROUP_CONCAT(original_partner),GROUP_CONCAT(source),GROUP_CONCAT(spegen),GROUP_CONCAT(species_bullions),GROUP_CONCAT(transport_type),nb_dup
1898,Mexico,India,Imp,"india,indostan","ImportaconYExportaconDeLaRepblicaMexicana_1899_197198,ImportaconYExportaconDeLaRepblicaMexicana_1899_197198",,,,2
1899,Mexico,India,Imp,"india,indostan","ImportaconYExportaconDeLaRepblicaMexicana_1899_197198,ImportaconYExportaconDeLaRepblicaMexicana_1899_197198",,,,2
1899,Mexico,Senegal,Imp,"senegal,senegambia","ImportaconYExportaconDeLaRepblicaMexicana_1899_197198,ImportaconYExportaconDeLaRepblicaMexicana_1899_197198",,,,2
1907,Iran (Persia),Oman (Sultanate of Muscat and Oman),Exp,"mascate,oman","StatistiqueCommercialeDeLaPerseTableauGnralDuCommerceAvecLesPaysTrangers_19171918_Iv2iv3,StatistiqueCommercialeDeLaPerseTableauGnralDuCommerceAvecLesPaysTrangers_19171918_Iv2iv3",,,,2
1907,Iran (Persia),Oman (Sultanate of Muscat and Oman),Imp,"mascate,oman","StatistiqueCommercialeDeLaPerseTableauGnralDuCommerceAvecLesPaysTrangers_19171918_Iv2iv3,StatistiqueCommercialeDeLaPerseTableauGnralDuCommerceAvecLesPaysTrangers_19171918_Iv2iv3",,,,2
1908,Iran (Persia),Oman (Sultanate of Muscat and Oman),Exp,"mascate,oman","StatistiqueCommercialeDeLaPerseTableauGnralDuCommerceAvecLesPaysTrangers_19171918_Iv2iv3,StatistiqueCommercialeDeLaPerseTableauGnralDuCommerceAvecLesPaysTrangers_19171918_Iv2iv3",,,,2
1908,Iran (Persia),Oman (Sultanate of Muscat and Oman),Imp,"mascate,oman","StatistiqueCommercialeDeLaPerseTableauGnralDuCommerceAvecLesPaysTrangers_19171918_Iv2iv3,StatistiqueCommercialeDeLaPerseTableauGnralDuCommerceAvecLesPaysTrangers_19171918_Iv2iv3",,,,2
1909,Dominican Republic (Santo Domingo),World as reported,Exp,"total,total","SummaryOfTheCommerceOfTheDominicanRepublic_1910_29,ReportOfTheFiscalPerioddominicanCustomsReceivership_1937_121",,,,2
1909,Dominican Republic (Santo Domingo),World as reported,Imp,"total,total","SummaryOfTheCommerceOfTheDominicanRepublic_1910_24,ReportOfTheFiscalPerioddominicanCustomsReceivership_1937_121",,NS,,2
1909,Iran (Persia),Oman (Sultanate of Muscat and Oman),Exp,"mascate,oman","StatistiqueCommercialeDeLaPerseTableauGnralDuCommerceAvecLesPaysTrangers_19171918_Iv2iv3,StatistiqueCommercialeDeLaPerseTableauGnralDuCommerceAvecLesPaysTrangers_19171918_Iv2iv3",,,,2
1909,Iran (Persia),Oman (Sultanate of Muscat and Oman),Imp,"mascate,oman","StatistiqueCommercialeDeLaPerseTableauGnralDuCommerceAvecLesPaysTrangers_19171918_Iv2iv3,StatistiqueCommercialeDeLaPerseTableauGnralDuCommerceAvecLesPaysTrangers_19171918_Iv2iv3",,,,2
1910,Dominican Republic (Santo Domingo),World as reported,Exp,"total,total","SummaryOfTheCommerceOfTheDominicanRepublic_1910_29,ReportOfTheFiscalPerioddominicanCustomsReceivership_1937_121",,,,2
1910,Dominican Republic (Santo Domingo),World as reported,Imp,"total,total","SummaryOfTheCommerceOfTheDominicanRepublic_1910_24,ReportOfTheFiscalPerioddominicanCustomsReceivership_1937_121",,NS,,2
1910,Iran (Persia),Oman (Sultanate of Muscat and Oman),Exp,"mascate,oman","StatistiqueCommercialeDeLaPerseTableauGnralDuCommerceAvecLesPaysTrangers_19171918_Iv2iv3,StatistiqueCommercialeDeLaPerseTableauGnralDuCommerceAvecLesPaysTrangers_19171918_Iv2iv3",,,,2
1910,Iran (Persia),Oman (Sultanate of Muscat and Oman),Imp,"mascate,oman","StatistiqueCommercialeDeLaPerseTableauGnralDuCommerceAvecLesPaysTrangers_19171918_Iv2iv3,StatistiqueCommercialeDeLaPerseTableauGnralDuCommerceAvecLesPaysTrangers_19171918_Iv2iv3",,,,2
1911,Iran (Persia),Oman (Sultanate of Muscat and Oman),Exp,"mascate,oman","StatistiqueCommercialeDeLaPerseTableauGnralDuCommerceAvecLesPaysTrangers_19171918_Iv2iv3,StatistiqueCommercialeDeLaPerseTableauGnralDuCommerceAvecLesPaysTrangers_19171918_Iv2iv3",,,,2
1911,Iran (Persia),Oman (Sultanate of Muscat and Oman),Imp,"mascate,oman","StatistiqueCommercialeDeLaPerseTableauGnralDuCommerceAvecLesPaysTrangers_19171918_Iv2iv3,StatistiqueCommercialeDeLaPerseTableauGnralDuCommerceAvecLesPaysTrangers_19171918_Iv2iv3",,,,2
1912,Iran (Persia),Oman (Sultanate of Muscat and Oman),Exp,"mascate,oman","StatistiqueCommercialeDeLaPerseTableauGnralDuCommerceAvecLesPaysTrangers_19171918_Iv2iv3,StatistiqueCommercialeDeLaPerseTableauGnralDuCommerceAvecLesPaysTrangers_19171918_Iv2iv3",,,,2
1912,Iran (Persia),Oman (Sultanate of Muscat and Oman),Imp,"mascate,oman","StatistiqueCommercialeDeLaPerseTableauGnralDuCommerceAvecLesPaysTrangers_19171918_Iv2iv3,StatistiqueCommercialeDeLaPerseTableauGnralDuCommerceAvecLesPaysTrangers_19171918_Iv2iv3",,,,2
1913,Iran (Persia),Oman (Sultanate of Muscat and Oman),Exp,"mascate,oman","StatistiqueCommercialeDeLaPerseTableauGnralDuCommerceAvecLesPaysTrangers_19171918_Iv2iv3,StatistiqueCommercialeDeLaPerseTableauGnralDuCommerceAvecLesPaysTrangers_19171918_Iv2iv3",,,,2
